nameEn	urlEn	nameJa	urlJa
Titanic	https://en.wikipedia.org/wiki/Titanic_(1997_film)	タイタニック	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%82%BF%E3%83%8B%E3%83%83%E3%82%AF_(1997%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Gone with the Wind	https://en.wikipedia.org/wiki/Gone_with_the_Wind_(film)	風と共に去りぬ	https://ja.wikipedia.org/wiki/%E9%A2%A8%E3%81%A8%E5%85%B1%E3%81%AB%E5%8E%BB%E3%82%8A%E3%81%AC_(%E6%98%A0%E7%94%BB)
Dr. Zhivago	https://en.wikipedia.org/wiki/Doctor_Zhivago_(film)	ドクトル・ジバゴ	https://ja.wikipedia.org/wiki/%E3%83%89%E3%82%AF%E3%83%88%E3%83%AB%E3%83%BB%E3%82%B8%E3%83%90%E3%82%B4_(1965%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Wind and the Lion	https://en.wikipedia.org/wiki/The_Wind_and_the_Lion	風とライオン	https://ja.wikipedia.org/wiki/%E9%A2%A8%E3%81%A8%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3
The Year of Living Dangerously	https://en.wikipedia.org/wiki/The_Year_of_Living_Dangerously_(film)	危険な年	https://ja.wikipedia.org/wiki/%E5%8D%B1%E9%99%BA%E3%81%AA%E5%B9%B4
True Lies	https://en.wikipedia.org/wiki/True_Lies	トゥルーライズ	https://ja.wikipedia.org/wiki/%E3%83%88%E3%82%A5%E3%83%AB%E3%83%BC%E3%83%A9%E3%82%A4%E3%82%BA
The Last of the Mohicans	https://en.wikipedia.org/wiki/The_Last_of_the_Mohicans_(1992_film)	ラスト・オブ・モヒカン	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%B9%E3%83%88%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%83%A2%E3%83%92%E3%82%AB%E3%83%B3
Mr. and Mrs. Smith	https://en.wikipedia.org/wiki/Mr._%26_Mrs._Smith_(2005_film)	Mr.&Mrs. スミス	https://ja.wikipedia.org/wiki/Mr.%26Mrs._%E3%82%B9%E3%83%9F%E3%82%B9
The Notebook	https://en.wikipedia.org/wiki/The_Notebook	きみに読む物語	https://ja.wikipedia.org/wiki/%E3%81%8D%E3%81%BF%E3%81%AB%E8%AA%AD%E3%82%80%E7%89%A9%E8%AA%9E
The Far Pavilions	https://en.wikipedia.org/wiki/The_Far_Pavilions		
The Painted Veil	https://en.wikipedia.org/wiki/The_Painted_Veil_(2006_film)	彩られし女性	https://ja.wikipedia.org/wiki/%E5%BD%A9%E3%82%89%E3%82%8C%E3%81%97%E5%A5%B3%E6%80%A7
