nameEn	urlEn	nameJa	urlJa
Brokeback	https://en.wikipedia.org/wiki/Brokeback_Mountain	ブロークバック・マウンテン	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AD%E3%83%BC%E3%82%AF%E3%83%90%E3%83%83%E3%82%AF%E3%83%BB%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3
Mountain	https://en.wikipedia.org/wiki/Mountain_(2017_film)		
Lolita	https://en.wikipedia.org/wiki/Lolita_(1997_film)	ロリータ	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%AA%E3%83%BC%E3%82%BF_(1997%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Guess Who’s Coming to Dinner	https://en.wikipedia.org/wiki/Guess_Who%27s_Coming_to_Dinner	招かれざる客	https://ja.wikipedia.org/wiki/%E6%8B%9B%E3%81%8B%E3%82%8C%E3%81%96%E3%82%8B%E5%AE%A2
Romeo & Juliet	https://en.wikipedia.org/wiki/Romeo_%2B_Juliet	ロミオ+ジュリエット	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%9F%E3%82%AA%2B%E3%82%B8%E3%83%A5%E3%83%AA%E3%82%A8%E3%83%83%E3%83%88
Harold and Maude	https://en.wikipedia.org/wiki/Harold_and_Maude	ハロルドとモード 少年は虹を渡る	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AD%E3%83%AB%E3%83%89%E3%81%A8%E3%83%A2%E3%83%BC%E3%83%89_%E5%B0%91%E5%B9%B4%E3%81%AF%E8%99%B9%E3%82%92%E6%B8%A1%E3%82%8B
The Blue Lagoon	https://en.wikipedia.org/wiki/The_Blue_Lagoon_(1980_film)	青い珊瑚礁	https://ja.wikipedia.org/wiki/%E9%9D%92%E3%81%84%E7%8F%8A%E7%91%9A%E7%A4%81_(1980%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
An Officer and a Gentleman	https://en.wikipedia.org/wiki/An_Officer_and_a_Gentleman	愛と青春の旅だち	https://ja.wikipedia.org/wiki/%E6%84%9B%E3%81%A8%E9%9D%92%E6%98%A5%E3%81%AE%E6%97%85%E3%81%A0%E3%81%A1
Dirty Dancing	https://en.wikipedia.org/wiki/Dirty_Dancing	ダーティ・ダンシング	https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BB%E3%83%80%E3%83%B3%E3%82%B7%E3%83%B3%E3%82%B0
Beauty and the Beast	https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(2017_film)	美女と野獣	https://ja.wikipedia.org/wiki/%E7%BE%8E%E5%A5%B3%E3%81%A8%E9%87%8E%E7%8D%A3_(2017%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Benny & Joon	https://en.wikipedia.org/wiki/Benny_%26_Joon	妹の恋人	https://ja.wikipedia.org/wiki/%E5%A6%B9%E3%81%AE%E6%81%8B%E4%BA%BA
Venus	https://en.wikipedia.org/wiki/Venus_(2022_film)		
