nameEn	urlEn	nameJa	urlJa
The Black Stallion	https://en.wikipedia.org/wiki/The_Black_Stallion_(film)	ワイルド・ブラック/少年の黒い馬	https://ja.wikipedia.org/wiki/%E3%83%AF%E3%82%A4%E3%83%AB%E3%83%89%E3%83%BB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/%E5%B0%91%E5%B9%B4%E3%81%AE%E9%BB%92%E3%81%84%E9%A6%AC
The Yearling	https://en.wikipedia.org/wiki/The_Yearling_(1946_film)	子鹿物語	https://ja.wikipedia.org/wiki/%E5%AD%90%E9%B9%BF%E7%89%A9%E8%AA%9E_(1946%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Lassie	https://www.imdb.com/title/tt0110305/	名犬ラッシー	https://ja.wikipedia.org/wiki/%E5%90%8D%E7%8A%AC%E3%83%A9%E3%83%83%E3%82%B7%E3%83%BC_(%E6%98%A0%E7%94%BB)
My Friend Flicka	https://en.wikipedia.org/wiki/My_Friend_Flicka_(film)		
Air Bud	https://en.wikipedia.org/wiki/Air_Bud	エア・バディ	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%83%BB%E3%83%90%E3%83%87%E3%82%A3
Andre	https://en.wikipedia.org/wiki/Andre_(film)		
My Dog Skip	https://en.wikipedia.org/wiki/My_Dog_Skip_(film)	マイ・ドッグ・スキップ	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%BB%E3%83%89%E3%83%83%E3%82%B0%E3%83%BB%E3%82%B9%E3%82%AD%E3%83%83%E3%83%97
Free Willy	https://en.wikipedia.org/wiki/Free_Willy	フリー・ウィリー	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A3%E3%83%AA%E3%83%BC
Beethoven	https://en.wikipedia.org/wiki/Beethoven_(film)	ベートーベン	https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%BC%E3%83%88%E3%83%BC%E3%83%99%E3%83%B3_(%E6%98%A0%E7%94%BB)
Benji	https://en.wikipedia.org/wiki/Benji_(1974_film)	ベンジー	https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%B3%E3%82%B8%E3%83%BC_(1974%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Black Beauty	https://en.wikipedia.org/wiki/Black_Beauty_(1994_film)	黒馬物語	https://ja.wikipedia.org/wiki/%E9%BB%92%E9%A6%AC%E7%89%A9%E8%AA%9E_(1994%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
