nameEn	urlEn	nameJa	urlJa
Lethal Weapon	https://en.wikipedia.org/wiki/Lethal_Weapon	リーサル・ウェポン	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%BC%E3%82%B5%E3%83%AB%E3%83%BB%E3%82%A6%E3%82%A7%E3%83%9D%E3%83%B3
The Producers	https://en.wikipedia.org/wiki/The_Producers_(1967_film)	プロデューサーズ	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AD%E3%83%87%E3%83%A5%E3%83%BC%E3%82%B5%E3%83%BC%E3%82%BA
Butch Cassidy and the Sundance Kid	https://en.wikipedia.org/wiki/Butch_Cassidy_and_the_Sundance_Kid	明日に向って撃て!	https://ja.wikipedia.org/wiki/%E6%98%8E%E6%97%A5%E3%81%AB%E5%90%91%E3%81%A3%E3%81%A6%E6%92%83%E3%81%A6!
The Front Page	https://en.wikipedia.org/wiki/The_Front_Page_(1931_film)	フロント・ページ	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AD%E3%83%B3%E3%83%88%E3%83%BB%E3%83%9A%E3%83%BC%E3%82%B8_(1974%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Sunshine Boys	https://en.wikipedia.org/wiki/The_Sunshine_Boys_(1975_film)		
Tapeheads	https://en.wikipedia.org/wiki/Tapeheads		
48 Hrs.	https://en.wikipedia.org/wiki/48_Hrs.	48時間	https://ja.wikipedia.org/wiki/48%E6%99%82%E9%96%93_(%E6%98%A0%E7%94%BB)
Feds	https://en.wikipedia.org/wiki/Feds		
Tango & Cash	https://en.wikipedia.org/wiki/Tango_%26_Cash	デッドフォール	https://ja.wikipedia.org/wiki/%E3%83%87%E3%83%83%E3%83%89%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AB
Wayne’s World	https://en.wikipedia.org/wiki/Wayne%27s_World_(film)	ウェインズ・ワールド	https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%B3%E3%82%BA%E3%83%BB%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89
Rush Hour	https://en.wikipedia.org/wiki/Rush_Hour_(1998_film)	ラッシュアワー	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%82%A2%E3%83%AF%E3%83%BC_(%E6%98%A0%E7%94%BB)
