nameEn	urlEn	nameJa	urlJa
Sleeping with the Enemy	https://en.wikipedia.org/wiki/Sleeping_with_the_Enemy	愛がこわれるとき	https://ja.wikipedia.org/wiki/%E6%84%9B%E3%81%8C%E3%81%93%E3%82%8F%E3%82%8C%E3%82%8B%E3%81%A8%E3%81%8D
Sorry	https://www.imdb.com/title/tt14821272/		
Wrong Number	https://en.wikipedia.org/wiki/Wrong_Number_(2004_film)		
Wait Until Dark	https://en.wikipedia.org/wiki/Wait_Until_Dark_(film)	暗くなるまで待って	https://ja.wikipedia.org/wiki/%E6%9A%97%E3%81%8F%E3%81%AA%E3%82%8B%E3%81%BE%E3%81%A7%E5%BE%85%E3%81%A3%E3%81%A6_(%E6%98%A0%E7%94%BB)
When a Stranger Calls	https://en.wikipedia.org/wiki/When_a_Stranger_Calls_(2006_film)	ストレンジャー・コール	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%88%E3%83%AC%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%BB%E3%82%B3%E3%83%BC%E3%83%AB
Blink	https://en.wikipedia.org/wiki/Blink_(1993_film)	瞳が忘れない/ブリンク	https://ja.wikipedia.org/wiki/%E7%9E%B3%E3%81%8C%E5%BF%98%E3%82%8C%E3%81%AA%E3%81%84/%E3%83%96%E3%83%AA%E3%83%B3%E3%82%AF
Cape Fear	https://en.wikipedia.org/wiki/Cape_Fear_(1991_film)	ケープ・フィアー	https://ja.wikipedia.org/wiki/%E3%82%B1%E3%83%BC%E3%83%97%E3%83%BB%E3%83%95%E3%82%A3%E3%82%A2%E3%83%BC
Misery	https://en.wikipedia.org/wiki/Misery_(film)	ミザリー	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%82%B6%E3%83%AA%E3%83%BC_(%E6%98%A0%E7%94%BB)
Suicide Kings	https://en.wikipedia.org/wiki/Suicide_Kings		
A Perfect Murder	https://en.wikipedia.org/wiki/A_Perfect_Murder	ダイヤルM	https://ja.wikipedia.org/wiki/%E3%83%80%E3%82%A4%E3%83%A4%E3%83%ABM
Hostage	https://en.wikipedia.org/wiki/Hostage_(2005_film)	ホステージ	https://ja.wikipedia.org/wiki/%E3%83%9B%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B8
Enough	https://en.wikipedia.org/wiki/Enough_(film)	イナフ	https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%8A%E3%83%95
