nameEn	urlEn	nameJa	urlJa
Deep Impact	https://en.wikipedia.org/wiki/Deep_Impact_(film)	ディープインパクト	https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%A3%E3%83%BC%E3%83%97%E3%83%BB%E3%82%A4%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88_(%E6%98%A0%E7%94%BB)
The Towering Inferno	https://en.wikipedia.org/wiki/The_Towering_Inferno	タワーリング・インフェルノ	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%83%AF%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%A4%E3%83%B3%E3%83%95%E3%82%A7%E3%83%AB%E3%83%8E
The Poseidon Adventure	https://en.wikipedia.org/wiki/The_Poseidon_Adventure_(1972_film)	ポセイドン・アドベンチャー	https://ja.wikipedia.org/wiki/%E3%83%9D%E3%82%BB%E3%82%A4%E3%83%89%E3%83%B3%E3%83%BB%E3%82%A2%E3%83%89%E3%83%99%E3%83%B3%E3%83%81%E3%83%A3%E3%83%BC_(%E6%98%A0%E7%94%BB)
Earthquake	https://en.wikipedia.org/wiki/Earthquake_(1974_film)	大地震	https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%9C%B0%E9%9C%87_(1974%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Meteor	https://en.wikipedia.org/wiki/Meteor_(film)	メテオ	https://ja.wikipedia.org/wiki/%E3%83%A1%E3%83%86%E3%82%AA_(%E6%98%A0%E7%94%BB)
The Day After	https://en.wikipedia.org/wiki/The_Day_After	ザ・デイ・アフター	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%83%87%E3%82%A4%E3%83%BB%E3%82%A2%E3%83%95%E3%82%BF%E3%83%BC
Volcano	https://en.wikipedia.org/wiki/Volcano_(1997_film)	ボルケーノ	https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%AB%E3%82%B1%E3%83%BC%E3%83%8E
Dante’s Peak	https://en.wikipedia.org/wiki/Dante%27s_Peak	ダンテズ・ピーク	https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%B3%E3%83%86%E3%82%BA%E3%83%BB%E3%83%94%E3%83%BC%E3%82%AF
Outbreak	https://en.wikipedia.org/wiki/Outbreak_(film)	アウトブレイク	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A6%E3%83%88%E3%83%96%E3%83%AC%E3%82%A4%E3%82%AF_(%E6%98%A0%E7%94%BB)
The Day After Tomorrow	https://en.wikipedia.org/wiki/The_Day_After_Tomorrow	デイ・アフター・トゥモロー	https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%A4%E3%83%BB%E3%82%A2%E3%83%95%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%88%E3%82%A5%E3%83%A2%E3%83%AD%E3%83%BC
Armageddon	https://en.wikipedia.org/wiki/Armageddon_(1998_film)	アルマゲドン	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%9E%E3%82%B2%E3%83%89%E3%83%B3_(%E6%98%A0%E7%94%BB)
