nameEn	urlEn	nameJa	urlJa
Die Hard	https://en.wikipedia.org/wiki/Die_Hard	ダイ・ハード	https://ja.wikipedia.org/wiki/%E3%83%80%E3%82%A4%E3%83%BB%E3%83%8F%E3%83%BC%E3%83%89
Outland	https://en.wikipedia.org/wiki/Outland_(film)	アウトランド	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A6%E3%83%88%E3%83%A9%E3%83%B3%E3%83%89
Breakdown	https://en.wikipedia.org/wiki/Breakdown_(1997_film)	ブレーキ・ダウン	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AC%E3%83%BC%E3%82%AD%E3%83%BB%E3%83%80%E3%82%A6%E3%83%B3
Under			
Siege	https://en.wikipedia.org/wiki/The_Siege	マーシャル・ロー	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%BB%E3%83%AD%E3%83%BC_(%E6%98%A0%E7%94%BB)
The Fugitive	https://en.wikipedia.org/wiki/The_Fugitive_(1993_film)	逃亡者	https://ja.wikipedia.org/wiki/%E9%80%83%E4%BA%A1%E8%80%85_(1993%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Speed	https://en.wikipedia.org/wiki/Speed_(1994_film)	スピード	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%94%E3%83%BC%E3%83%89_(%E6%98%A0%E7%94%BB)
Air Force One	https://en.wikipedia.org/wiki/Air_Force_One_(film)	エアフォース・ワン	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%83%95%E3%82%A9%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%AF%E3%83%B3_(%E6%98%A0%E7%94%BB)
Flightplan	https://en.wikipedia.org/wiki/Flightplan	フライトプラン	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%82%A4%E3%83%88%E3%83%97%E3%83%A9%E3%83%B3
Red Eye	https://en.wikipedia.org/wiki/Red_Eye_(2005_American_film)	パニック・フライト	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%8B%E3%83%83%E3%82%AF%E3%83%BB%E3%83%95%E3%83%A9%E3%82%A4%E3%83%88
Man on Fire	https://en.wikipedia.org/wiki/Man_on_Fire_(2004_film)	マイ・ボディガード	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%BB%E3%83%9C%E3%83%87%E3%82%A3%E3%82%AC%E3%83%BC%E3%83%89_(2004%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
