nameEn	urlEn	nameJa	urlJa
Open Water	https://en.wikipedia.org/wiki/Open_Water_(film)	オープン・ウォーター	https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%BF%E3%83%BC
The Flight of the Phoenix	https://en.wikipedia.org/wiki/The_Flight_of_the_Phoenix_(1965_film)	飛べ!フェニックス	https://ja.wikipedia.org/wiki/%E9%A3%9B%E3%81%B9!%E3%83%95%E3%82%A7%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B9
Champions	https://en.wikipedia.org/wiki/Champions_(2023_film)		
Lorenzo’s Oil	https://en.wikipedia.org/wiki/Lorenzo%27s_Oil	ロレンツォのオイル/命の詩	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%AC%E3%83%B3%E3%83%84%E3%82%A9%E3%81%AE%E3%82%AA%E3%82%A4%E3%83%AB/%E5%91%BD%E3%81%AE%E8%A9%A9
The Edge	https://en.wikipedia.org/wiki/The_Edge_(1997_film)	ザ・ワイルド	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%83%AF%E3%82%A4%E3%83%AB%E3%83%89
Alive	https://en.wikipedia.org/wiki/Alive_(1993_film)	生きてこそ	https://ja.wikipedia.org/wiki/%E7%94%9F%E3%81%8D%E3%81%A6%E3%81%93%E3%81%9D_(1993%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Apollo 13	https://en.wikipedia.org/wiki/Apollo_13_(film)	アポロ13	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%9D%E3%83%AD13
Twister	https://en.wikipedia.org/wiki/Twister_(1996_film)	ツイスター	https://ja.wikipedia.org/wiki/%E3%83%84%E3%82%A4%E3%82%B9%E3%82%BF%E3%83%BC_(%E6%98%A0%E7%94%BB)
Six Days	https://en.wikipedia.org/wiki/6_Days_(2017_film)	シックス・デイ	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%83%87%E3%82%A4
Seven Nights	https://en.wikipedia.org/wiki/Six_Days,_Seven_Nights	6デイズ/7ナイツ	https://ja.wikipedia.org/wiki/6%E3%83%87%E3%82%A4%E3%82%BA/7%E3%83%8A%E3%82%A4%E3%83%84
Into Thin Air Death on Everest	https://en.wikipedia.org/wiki/Into_Thin_Air:_Death_on_Everest		
The Perfect Storm	https://en.wikipedia.org/wiki/The_Perfect_Storm_(film)	パーフェクト ストーム	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%BC%E3%83%95%E3%82%A7%E3%82%AF%E3%83%88_%E3%82%B9%E3%83%88%E3%83%BC%E3%83%A0
