nameEn	urlEn	nameJa	urlJa
Three Days of the Condor	https://en.wikipedia.org/wiki/Three_Days_of_the_Condor	コンドル	https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%B3%E3%83%89%E3%83%AB_(1975%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
North by Northwest	https://en.wikipedia.org/wiki/North_by_Northwest	北北西に進路を取れ	https://ja.wikipedia.org/wiki/%E5%8C%97%E5%8C%97%E8%A5%BF%E3%81%AB%E9%80%B2%E8%B7%AF%E3%82%92%E5%8F%96%E3%82%8C
The Man Who Knew Too Much	https://en.wikipedia.org/wiki/The_Man_Who_Knew_Too_Much_(1956_film)	知りすぎていた男	https://ja.wikipedia.org/wiki/%E7%9F%A5%E3%82%8A%E3%81%99%E3%81%8E%E3%81%A6%E3%81%84%E3%81%9F%E7%94%B7
The Long Kiss Goodnight	https://en.wikipedia.org/wiki/The_Long_Kiss_Goodnight	ロング・キス・グッドナイト	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%AD%E3%82%B9%E3%83%BB%E3%82%B0%E3%83%83%E3%83%89%E3%83%8A%E3%82%A4%E3%83%88
The Net	https://en.wikipedia.org/wiki/The_Net_(1995_film)	ザ・インターネット	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88
Enemy of the State	https://en.wikipedia.org/wiki/Enemy_of_the_State_(film)	エネミー・オブ・アメリカ	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%8D%E3%83%9F%E3%83%BC%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB
The Bourne Identity	https://en.wikipedia.org/wiki/The_Bourne_Identity_(2002_film)	ボーン・アイデンティティー	https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%BC%E3%83%B3%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3%E3%83%BC
Paycheck	https://en.wikipedia.org/wiki/Paycheck_(film)	ペイチェック 消された記憶	https://ja.wikipedia.org/wiki/%E3%83%9A%E3%82%A4%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF_%E6%B6%88%E3%81%95%E3%82%8C%E3%81%9F%E8%A8%98%E6%86%B6
The Bourne Supremacy	https://en.wikipedia.org/wiki/The_Bourne_Supremacy_(film)	ボーン・スプレマシー	https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%BC%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%97%E3%83%AC%E3%83%9E%E3%82%B7%E3%83%BC
Nowhere to Run	https://en.wikipedia.org/wiki/Nowhere_to_Run_(1993_film)	ボディ・ターゲット	https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%87%E3%82%A3%E3%83%BB%E3%82%BF%E3%83%BC%E3%82%B2%E3%83%83%E3%83%88
Shooter	https://en.wikipedia.org/wiki/Shooter_(2007_film)	ザ・シューター/極大射程	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%BC%E3%82%BF%E3%83%BC/%E6%A5%B5%E5%A4%A7%E5%B0%84%E7%A8%8B
