nameEn	urlEn	nameJa	urlJa
Legally Blonde	https://en.wikipedia.org/wiki/Legally_Blonde	キューティ・ブロンド	https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BB%E3%83%96%E3%83%AD%E3%83%B3%E3%83%89
Stripes	https://en.wikipedia.org/wiki/Stripes_(film)	パラダイス・アーミー	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%A9%E3%83%80%E3%82%A4%E3%82%B9%E3%83%BB%E3%82%A2%E3%83%BC%E3%83%9F%E3%83%BC
Beverly Hills Cop	https://en.wikipedia.org/wiki/Beverly_Hills_Cop	ビバリーヒルズ・コップ	https://ja.wikipedia.org/wiki/%E3%83%93%E3%83%90%E3%83%AA%E3%83%BC%E3%83%92%E3%83%AB%E3%82%BA%E3%83%BB%E3%82%B3%E3%83%83%E3%83%97
Private Benjamin	https://en.wikipedia.org/wiki/Private_Benjamin_(1980_film)	プライベート・ベンジャミン	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%82%A4%E3%83%99%E3%83%BC%E3%83%88%E3%83%BB%E3%83%99%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%9F%E3%83%B3
Crocodile Dundee	https://en.wikipedia.org/wiki/Crocodile_Dundee	クロコダイル・ダンディー	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AD%E3%82%B3%E3%83%80%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%80%E3%83%B3%E3%83%87%E3%82%A3%E3%83%BC
My Blue Heaven	https://en.wikipedia.org/wiki/My_Blue_Heaven_(1990_American_film)	マイ・ブルー・ヘブン	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC%E3%83%BB%E3%83%98%E3%83%96%E3%83%B3_(%E6%98%A0%E7%94%BB)
Mr. Mom	https://en.wikipedia.org/wiki/Mr._Mom	ミスター・マム	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%9E%E3%83%A0
Coming to America	https://en.wikipedia.org/wiki/Coming_to_America	星の王子 ニューヨークへ行く	https://ja.wikipedia.org/wiki/%E6%98%9F%E3%81%AE%E7%8E%8B%E5%AD%90_%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF%E3%81%B8%E8%A1%8C%E3%81%8F
Daddy Day Care	https://en.wikipedia.org/wiki/Daddy_Day_Care	チャーリーと14人のキッズ	https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%A3%E3%83%BC%E3%83%AA%E3%83%BC%E3%81%A814%E4%BA%BA%E3%81%AE%E3%82%AD%E3%83%83%E3%82%BA
Elf	https://en.wikipedia.org/wiki/Elf_(film)	エルフ 〜サンタの国からやってきた〜	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%95_%E3%80%9C%E3%82%B5%E3%83%B3%E3%82%BF%E3%81%AE%E5%9B%BD%E3%81%8B%E3%82%89%E3%82%84%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%9F%E3%80%9C
The Pacifer	https://en.wikipedia.org/wiki/The_Pacifier	キャプテン・ウルフ	https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%A3%E3%83%97%E3%83%86%E3%83%B3%E3%83%BB%E3%82%A6%E3%83%AB%E3%83%95
