nameEn	urlEn	nameJa	urlJa
Being There	https://en.wikipedia.org/wiki/Being_There	チャンス	https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%A3%E3%83%B3%E3%82%B9_(1979%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Mr. Smith Goes to Washington	https://en.wikipedia.org/wiki/Mr._Smith_Goes_to_Washington	スミス都へ行く	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%9F%E3%82%B9%E9%83%BD%E3%81%B8%E8%A1%8C%E3%81%8F
Meet John Doe	https://en.wikipedia.org/wiki/Meet_John_Doe	群衆	https://ja.wikipedia.org/wiki/%E7%BE%A4%E8%A1%86_(1941%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
King Ralph	https://en.wikipedia.org/wiki/King_Ralph	ラルフ一世はアメリカン	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%83%AB%E3%83%95%E4%B8%80%E4%B8%96%E3%81%AF%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3
Protocol	https://en.wikipedia.org/wiki/Protocol_(film)		
Dave	https://en.wikipedia.org/wiki/Dave_(film)	デーヴ	https://ja.wikipedia.org/wiki/%E3%83%87%E3%83%BC%E3%83%B4_(%E6%98%A0%E7%94%BB)
The Distinguished Gentleman	https://en.wikipedia.org/wiki/The_Distinguished_Gentleman	ホワイトハウス狂騒曲	https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%8F%E3%82%A6%E3%82%B9%E7%8B%82%E9%A8%92%E6%9B%B2
Moon Over Parador	https://en.wikipedia.org/wiki/Moon_over_Parador		
Bulworth	https://en.wikipedia.org/wiki/Bulworth	ブルワース	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AB%E3%83%AF%E3%83%BC%E3%82%B9
The Princess Diaries	https://en.wikipedia.org/wiki/The_Princess_Diaries_(film)	プリティ・プリンセス	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AA%E3%83%86%E3%82%A3%E3%83%BB%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9
Head of State	https://en.wikipedia.org/wiki/Head_of_State_(2003_film)	ヒップホップ・プレジデント	https://ja.wikipedia.org/wiki/%E3%83%92%E3%83%83%E3%83%97%E3%83%9B%E3%83%83%E3%83%97%E3%83%BB%E3%83%97%E3%83%AC%E3%82%B8%E3%83%87%E3%83%B3%E3%83%88
