nameEn	urlEn	nameJa	urlJa
Forrest Gump	https://en.wikipedia.org/wiki/Forrest_Gump	フォレスト・ガンプ/一期一会	https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A9%E3%83%AC%E3%82%B9%E3%83%88%E3%83%BB%E3%82%AC%E3%83%B3%E3%83%97/%E4%B8%80%E6%9C%9F%E4%B8%80%E4%BC%9A
Charly	https://en.wikipedia.org/wiki/Charly	まごころを君に	https://ja.wikipedia.org/wiki/%E3%81%BE%E3%81%94%E3%81%93%E3%82%8D%E3%82%92%E5%90%9B%E3%81%AB
Zelig	https://en.wikipedia.org/wiki/Zelig	カメレオンマン	https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%A1%E3%83%AC%E3%82%AA%E3%83%B3%E3%83%9E%E3%83%B3
Shine	https://en.wikipedia.org/wiki/Shine_(film)	シャイン	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A3%E3%82%A4%E3%83%B3_(%E6%98%A0%E7%94%BB)
Awakenings	https://en.wikipedia.org/wiki/Awakenings	レナードの朝	https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%8A%E3%83%BC%E3%83%89%E3%81%AE%E6%9C%9D
Sling Blade	https://en.wikipedia.org/wiki/Sling_Blade	スリング・ブレイド	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%BB%E3%83%96%E3%83%AC%E3%82%A4%E3%83%89
Radio	https://en.wikipedia.org/wiki/Radio_(2003_film)	僕はラジオ	https://ja.wikipedia.org/wiki/%E5%83%95%E3%81%AF%E3%83%A9%E3%82%B8%E3%82%AA
My Left Foot	https://en.wikipedia.org/wiki/My_Left_Foot	マイ・レフトフット	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%BB%E3%83%AC%E3%83%95%E3%83%88%E3%83%95%E3%83%83%E3%83%88
I Am Sam	https://en.wikipedia.org/wiki/I_Am_Sam	アイ・アム・サム	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%BB%E3%82%A2%E3%83%A0%E3%83%BB%E3%82%B5%E3%83%A0
The Other Sister	https://en.wikipedia.org/wiki/The_Other_Sister	カーラの結婚宣言	https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%83%A9%E3%81%AE%E7%B5%90%E5%A9%9A%E5%AE%A3%E8%A8%80
Mask	https://en.wikipedia.org/wiki/The_Mask_(1994_film)	マスク	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B9%E3%82%AF_(1994%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
