nameEn	urlEn	nameJa	urlJa
Tootsie	https://en.wikipedia.org/wiki/Tootsie	トッツィー	https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%83%E3%83%84%E3%82%A3%E3%83%BC
Some Like It Hot	https://en.wikipedia.org/wiki/Some_Like_It_Hot	お熱いのがお好き	https://ja.wikipedia.org/wiki/%E3%81%8A%E7%86%B1%E3%81%84%E3%81%AE%E3%81%8C%E3%81%8A%E5%A5%BD%E3%81%8D
Trading Places	https://en.wikipedia.org/wiki/Trading_Places	大逆転	https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%80%86%E8%BB%A2
Soul Man	https://en.wikipedia.org/wiki/Soul_Man_(film)	ミスター・ソウルマン	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%BD%E3%82%A6%E3%83%AB%E3%83%9E%E3%83%B3
Working Girl	https://en.wikipedia.org/wiki/Working_Girl	ワーキング・ガール	https://ja.wikipedia.org/wiki/%E3%83%AF%E3%83%BC%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%AC%E3%83%BC%E3%83%AB
Victor/Victoria	https://en.wikipedia.org/wiki/Victor/Victoria	ビクター/ビクトリア	https://ja.wikipedia.org/wiki/%E3%83%93%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%93%E3%82%AF%E3%83%88%E3%83%AA%E3%82%A2
Mrs. Doubtfire	https://en.wikipedia.org/wiki/Mrs._Doubtfire	ミセス・ダウト	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%82%BB%E3%82%B9%E3%83%BB%E3%83%80%E3%82%A6%E3%83%88
Miss Congeniality	https://en.wikipedia.org/wiki/Miss_Congeniality_(film)	デンジャラス・ビューティー	https://ja.wikipedia.org/wiki/%E3%83%87%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%A9%E3%82%B9%E3%83%BB%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC
Big Momma’s House	https://en.wikipedia.org/wiki/Big_Momma%27s_House	ビッグママ・ハウス	https://ja.wikipedia.org/wiki/%E3%83%93%E3%83%83%E3%82%B0%E3%83%9E%E3%83%9E%E3%83%BB%E3%83%8F%E3%82%A6%E3%82%B9
Connie and Carla	https://en.wikipedia.org/wiki/Connie_and_Carla		
She’s the Man	https://en.wikipedia.org/wiki/She%27s_the_Man	アメリカン・ピーチパイ	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%83%94%E3%83%BC%E3%83%81%E3%83%91%E3%82%A4
