nameEn	urlEn	nameJa	urlJa
Ocean’s Eleven	https://en.wikipedia.org/wiki/Ocean%27s_Eleven	オーシャンズ11	https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%B3%E3%82%BA11
Rififi	https://en.wikipedia.org/wiki/Rififi		
Topkapi	https://en.wikipedia.org/wiki/Topkapi_(film)	トプカピ	https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%97%E3%82%AB%E3%83%94
The Great St. Louis Bank Robbery	https://en.wikipedia.org/wiki/The_Great_St._Louis_Bank_Robbery		
The Hot Rock	https://en.wikipedia.org/wiki/The_Hot_Rock_(film)	ホット・ロック	https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%83%E3%83%88%E3%83%BB%E3%83%AD%E3%83%83%E3%82%AF
Papillon	https://en.wikipedia.org/wiki/Papillon_(1973_film)	パピヨン 	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%94%E3%83%A8%E3%83%B3_(1973%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Escape from Alcatraz	https://en.wikipedia.org/wiki/Escape_from_Alcatraz_(film)	アルカトラズからの脱出	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%88%E3%83%A9%E3%82%BA%E3%81%8B%E3%82%89%E3%81%AE%E8%84%B1%E5%87%BA
Quick Change	https://en.wikipedia.org/wiki/Quick_Change	クイック・チェンジ	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%83%BB%E3%83%81%E3%82%A7%E3%83%B3%E3%82%B8
Sneakers	https://en.wikipedia.org/wiki/Sneakers_(1992_film)	スニーカーズ	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%8B%E3%83%BC%E3%82%AB%E3%83%BC%E3%82%BA
The Usual Suspects	https://en.wikipedia.org/wiki/The_Usual_Suspects	ユージュアル・サスペクツ	https://ja.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%82%B8%E3%83%A5%E3%82%A2%E3%83%AB%E3%83%BB%E3%82%B5%E3%82%B9%E3%83%9A%E3%82%AF%E3%83%84
The Italian Job	https://en.wikipedia.org/wiki/The_Italian_Job_(2003_film)	ミニミニ大作戦	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%8B%E3%83%9F%E3%83%8B%E5%A4%A7%E4%BD%9C%E6%88%A6_(2003%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
