nameEn	urlEn	nameJa	urlJa
Saving Private Ryan	https://en.wikipedia.org/wiki/Saving_Private_Ryan	プライベート・ライアン	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%82%A4%E3%83%99%E3%83%BC%E3%83%88%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3
The Guns of Navarone	https://en.wikipedia.org/wiki/The_Guns_of_Navarone_(film)	ナバロンの要塞	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%90%E3%83%AD%E3%83%B3%E3%81%AE%E8%A6%81%E5%A1%9E_(%E6%98%A0%E7%94%BB)
The Dirty Dozen	https://en.wikipedia.org/wiki/The_Dirty_Dozen	特攻大作戦	https://ja.wikipedia.org/wiki/%E7%89%B9%E6%94%BB%E5%A4%A7%E4%BD%9C%E6%88%A6
The Professionals	https://en.wikipedia.org/wiki/The_Professionals_(1966_film)	プロフェッショナル	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A7%E3%83%83%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB_(1966%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Star Wars	https://en.wikipedia.org/wiki/List_of_Star_Wars_films	スター・ウォーズ	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%BA%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA
Apocalypse Now	https://en.wikipedia.org/wiki/Apocalypse_Now	地獄の黙示録	https://ja.wikipedia.org/wiki/%E5%9C%B0%E7%8D%84%E3%81%AE%E9%BB%99%E7%A4%BA%E9%8C%B2
Glory	https://en.wikipedia.org/wiki/Glory_(1989_film)	グローリー	https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%AA%E3%83%BC_(%E6%98%A0%E7%94%BB)
Three Kings	https://en.wikipedia.org/wiki/Three_Kings_(1999_film)	スリー・キングス	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%AD%E3%83%B3%E3%82%B0%E3%82%B9
Master and Commander: The Far Side of The World	https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World	マスター・アンド・コマンダー	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%82%B3%E3%83%9E%E3%83%B3%E3%83%80%E3%83%BC
National Treasure	https://en.wikipedia.org/wiki/National_Treasure_(film)	ナショナル・トレジャー	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%BB%E3%83%88%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC
The Lord of the Rings	https://en.wikipedia.org/wiki/The_Lord_of_the_Rings_(film_series)	ロード・オブ・ザ・リング	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%83%89%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%AA%E3%83%B3%E3%82%B0_(%E6%98%A0%E7%94%BB%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA)
