nameEn	urlEn	nameJa	urlJa
Maria Full of Grace	https://en.wikipedia.org/wiki/Maria_Full_of_Grace	そして、ひと粒のひかり	https://ja.wikipedia.org/wiki/%E3%81%9D%E3%81%97%E3%81%A6%E3%80%81%E3%81%B2%E3%81%A8%E7%B2%92%E3%81%AE%E3%81%B2%E3%81%8B%E3%82%8A
Barry Lyndon	https://en.wikipedia.org/wiki/Barry_Lyndon	バリー・リンドン	https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%AA%E3%83%B3%E3%83%89%E3%83%B3
Coal Miner’s Daughter	https://en.wikipedia.org/wiki/Coal_Miner%27s_Daughter_(film)	歌え!ロレッタ愛のために	https://ja.wikipedia.org/wiki/%E6%AD%8C%E3%81%88!%E3%83%AD%E3%83%AC%E3%83%83%E3%82%BF%E6%84%9B%E3%81%AE%E3%81%9F%E3%82%81%E3%81%AB
About Schmidt	https://en.wikipedia.org/wiki/About_Schmidt	アバウト・シュミット	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%90%E3%82%A6%E3%83%88%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%9F%E3%83%83%E3%83%88
Capote	https://en.wikipedia.org/wiki/Capote_(film)	カポーティ	https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%9D%E3%83%BC%E3%83%86%E3%82%A3
Garden State	https://en.wikipedia.org/wiki/Garden_State_(film)	終わりで始まりの4日間	https://ja.wikipedia.org/wiki/%E7%B5%82%E3%82%8F%E3%82%8A%E3%81%A7%E5%A7%8B%E3%81%BE%E3%82%8A%E3%81%AE4%E6%97%A5%E9%96%93
Cast Away	https://en.wikipedia.org/wiki/Cast_Away	キャスト・アウェイ	https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%A3%E3%82%B9%E3%83%88%E3%83%BB%E3%82%A2%E3%82%A6%E3%82%A7%E3%82%A4
Ray	https://en.wikipedia.org/wiki/Ray_(film)	Ray/レイ	https://ja.wikipedia.org/wiki/Ray/%E3%83%AC%E3%82%A4
Walk the Line	https://en.wikipedia.org/wiki/Walk_the_Line	ウォーク・ザ・ライン/君につづく道	https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%AF%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%A9%E3%82%A4%E3%83%B3/%E5%90%9B%E3%81%AB%E3%81%A4%E3%81%A5%E3%81%8F%E9%81%93
Vanity Fair	https://en.wikipedia.org/wiki/Vanity_Fair_(2004_film)	悪女	https://ja.wikipedia.org/wiki/%E6%82%AA%E5%A5%B3_(2004%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Cold Mountain	https://en.wikipedia.org/wiki/Cold_Mountain_(film)	コールド マウンテン	https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%BC%E3%83%AB%E3%83%89_%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3
