nameEn	urlEn	nameJa	urlJa
The Bad News Bears	https://en.wikipedia.org/wiki/The_Bad_News_Bears	がんばれ!ベアーズ	https://ja.wikipedia.org/wiki/%E3%81%8C%E3%82%93%E3%81%B0%E3%82%8C!%E3%83%99%E3%82%A2%E3%83%BC%E3%82%BA
The Longest Yard	https://en.wikipedia.org/wiki/The_Longest_Yard_(2005_film)	ロンゲスト・ヤード	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%B3%E3%82%B2%E3%82%B9%E3%83%88%E3%83%BB%E3%83%A4%E3%83%BC%E3%83%89_(2005%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Slap Shot	https://en.wikipedia.org/wiki/Slap_Shot	スラップ・ショット	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%A9%E3%83%83%E3%83%97%E3%83%BB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88
Rocky	https://en.wikipedia.org/wiki/Rocky	ロッキー	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%83%E3%82%AD%E3%83%BC_(%E6%98%A0%E7%94%BB)
Major League	https://en.wikipedia.org/wiki/Major_League_(film)	メジャーリーグ	https://ja.wikipedia.org/wiki/%E3%83%A1%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%AA%E3%83%BC%E3%82%B0_(%E6%98%A0%E7%94%BB)
Hoosiers	https://en.wikipedia.org/wiki/Hoosiers_(film)	勝利への旅立ち	https://ja.wikipedia.org/wiki/%E5%8B%9D%E5%88%A9%E3%81%B8%E3%81%AE%E6%97%85%E7%AB%8B%E3%81%A1
A League of Their Own	https://en.wikipedia.org/wiki/A_League_of_Their_Own	プリティ・リーグ	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AA%E3%83%86%E3%82%A3%E3%83%BB%E3%83%AA%E3%83%BC%E3%82%B0
Cool Runnings	https://en.wikipedia.org/wiki/Cool_Runnings	クール・ランニング	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%A9%E3%83%B3%E3%83%8B%E3%83%B3%E3%82%B0
The Mighty Ducks	https://en.wikipedia.org/wiki/The_Mighty_Ducks_(film)	飛べないアヒル	https://ja.wikipedia.org/wiki/%E9%A3%9B%E3%81%B9%E3%81%AA%E3%81%84%E3%82%A2%E3%83%92%E3%83%AB
Remember the Titans	https://en.wikipedia.org/wiki/Remember_the_Titans	タイタンズを忘れない	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%82%BF%E3%83%B3%E3%82%BA%E3%82%92%E5%BF%98%E3%82%8C%E3%81%AA%E3%81%84
Dodgeball: A True Underdog Story	https://en.wikipedia.org/wiki/Dodgeball:_A_True_Underdog_Story	ドッジボール	https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%83%E3%82%B8%E3%83%9C%E3%83%BC%E3%83%AB_(%E6%98%A0%E7%94%BB)
