nameEn	urlEn	nameJa	urlJa
Office Space	https://en.wikipedia.org/wiki/Office_Space	リストラ・マン	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%82%B9%E3%83%88%E3%83%A9%E3%83%BB%E3%83%9E%E3%83%B3
One Flew Over the Cuckoo’s Nest	https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film)	カッコーの巣の上で	https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%83%E3%82%B3%E3%83%BC%E3%81%AE%E5%B7%A3%E3%81%AE%E4%B8%8A%E3%81%A7
9 to 5	https://en.wikipedia.org/wiki/9_to_5_(film)	9時から5時まで	https://ja.wikipedia.org/wiki/9%E6%99%82%E3%81%8B%E3%82%895%E6%99%82%E3%81%BE%E3%81%A7
Network	https://en.wikipedia.org/wiki/Network_(1976_film)	ネットワーク	https://ja.wikipedia.org/wiki/%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF_(%E6%98%A0%E7%94%BB)
The Hospital	https://en.wikipedia.org/wiki/The_Hospital		
Glengarry Glen Ross	https://en.wikipedia.org/wiki/Glengarry_Glen_Ross_(film)	摩天楼を夢みて	https://ja.wikipedia.org/wiki/%E6%91%A9%E5%A4%A9%E6%A5%BC%E3%82%92%E5%A4%A2%E3%81%BF%E3%81%A6
Barbarians at the Gate	https://en.wikipedia.org/wiki/Barbarians_at_the_Gate_(film)		
The Paper	https://en.wikipedia.org/wiki/The_Paper_(film)	ザ・ペーパー	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%83%9A%E3%83%BC%E3%83%91%E3%83%BC
Boiler Room	https://en.wikipedia.org/wiki/Boiler_Room_(film)		
Pushing Tin	https://en.wikipedia.org/wiki/Pushing_Tin	狂っちゃいないぜ	https://ja.wikipedia.org/wiki/%E7%8B%82%E3%81%A3%E3%81%A1%E3%82%83%E3%81%84%E3%81%AA%E3%81%84%E3%81%9C
Ladder 49	https://en.wikipedia.org/wiki/Ladder_49	炎のメモリアル	https://ja.wikipedia.org/wiki/%E7%82%8E%E3%81%AE%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A2%E3%83%AB
