nameEn	urlEn	nameJa	urlJa
Do the Right Thing	https://en.wikipedia.org/wiki/Do_the_Right_Thing	ドゥ・ザ・ライト・シング	https://ja.wikipedia.org/wiki/%E3%83%89%E3%82%A5%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%A9%E3%82%A4%E3%83%88%E3%83%BB%E3%82%B7%E3%83%B3%E3%82%B0_(%E6%98%A0%E7%94%BB)
The Godfather	https://en.wikipedia.org/wiki/The_Godfather	ゴッドファーザー	https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%83%E3%83%89%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B6%E3%83%BC_(%E6%98%A0%E7%94%BB)
Boyz N the Hood	https://en.wikipedia.org/wiki/Boyz_n_the_Hood	ボーイズ'ン・ザ・フッド	https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%BC%E3%82%A4%E3%82%BA%27%E3%83%B3%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%95%E3%83%83%E3%83%89
Goodfellas	https://en.wikipedia.org/wiki/Goodfellas	グッドフェローズ	https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%83%E3%83%89%E3%83%95%E3%82%A7%E3%83%AD%E3%83%BC%E3%82%BA
Terms of Endearment	https://en.wikipedia.org/wiki/Terms_of_Endearment	愛と追憶の日々	https://ja.wikipedia.org/wiki/%E6%84%9B%E3%81%A8%E8%BF%BD%E6%86%B6%E3%81%AE%E6%97%A5%E3%80%85
The Joy Luck Club	https://en.wikipedia.org/wiki/The_Joy_Luck_Club_(film)	ジョイ・ラック・クラブ	https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%82%A4%E3%83%BB%E3%83%A9%E3%83%83%E3%82%AF%E3%83%BB%E3%82%AF%E3%83%A9%E3%83%96
Liberty Heights	https://en.wikipedia.org/wiki/Liberty_Heights	リバティ・ハイツ	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%90%E3%83%86%E3%82%A3%E3%83%BB%E3%83%8F%E3%82%A4%E3%83%84
Avalon	https://en.wikipedia.org/wiki/Avalon_(2001_film)	アヴァロン	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B4%E3%82%A1%E3%83%AD%E3%83%B3_(%E6%98%A0%E7%94%BB)
American Beauty	https://en.wikipedia.org/wiki/American_Beauty_(1999_film)	アメリカン・ビューティー	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC
The Royal Tenenbaums	https://en.wikipedia.org/wiki/The_Royal_Tenenbaums	ザ・ロイヤル・テネンバウムズ	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%BB%E3%83%86%E3%83%8D%E3%83%B3%E3%83%90%E3%82%A6%E3%83%A0%E3%82%BA
Spanglish	https://en.wikipedia.org/wiki/Spanglish_(film)	スパングリッシュ 太陽の国から来たママのこと	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%91%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5_%E5%A4%AA%E9%99%BD%E3%81%AE%E5%9B%BD%E3%81%8B%E3%82%89%E6%9D%A5%E3%81%9F%E3%83%9E%E3%83%9E%E3%81%AE%E3%81%93%E3%81%A8
