nameEn	urlEn	nameJa	urlJa
Crash	https://en.wikipedia.org/wiki/Crash_(2004_film)	クラッシュ	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5_(2004%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Nashville	https://en.wikipedia.org/wiki/Nashville_(film)	ナッシュビル	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%83%E3%82%B7%E3%83%A5%E3%83%93%E3%83%AB_(%E6%98%A0%E7%94%BB)
The Big Chill	https://en.wikipedia.org/wiki/The_Big_Chill_(film)	再会の時	https://ja.wikipedia.org/wiki/%E5%86%8D%E4%BC%9A%E3%81%AE%E6%99%82
Short Cuts	https://en.wikipedia.org/wiki/Short_Cuts	ショート・カッツ	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A7%E3%83%BC%E3%83%88%E3%83%BB%E3%82%AB%E3%83%83%E3%83%84
Magnolia	https://en.wikipedia.org/wiki/Magnolia_(film)	マグノリア	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B0%E3%83%8E%E3%83%AA%E3%82%A2_(%E6%98%A0%E7%94%BB)
Eating	https://en.wikipedia.org/wiki/Eating_(film)		
Night on Earth	https://en.wikipedia.org/wiki/Night_on_Earth	ナイト・オン・ザ・プラネット	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A4%E3%83%88%E3%83%BB%E3%82%AA%E3%83%B3%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%97%E3%83%A9%E3%83%8D%E3%83%83%E3%83%88
Thirteen Conversations About One Thing	https://en.wikipedia.org/wiki/Thirteen_Conversations_About_One_Thing		
Sin City	https://en.wikipedia.org/wiki/Sin_City_(film)	シン・シティ	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%B3%E3%83%BB%E3%82%B7%E3%83%86%E3%82%A3
Friends with Money	https://en.wikipedia.org/wiki/Friends_with_Money	セックス・アンド・マネー	https://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%83%9E%E3%83%8D%E3%83%BC
Babel	https://en.wikipedia.org/wiki/Babel_(film)	バベル	https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%99%E3%83%AB_(%E6%98%A0%E7%94%BB)
