nameEn	urlEn	nameJa	urlJa
Training Day	https://en.wikipedia.org/wiki/Training_Day	トレーニング デイ	https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0_%E3%83%87%E3%82%A4
Wall Street	https://en.wikipedia.org/wiki/Wall_Street_(1987_film)	ウォール街	https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AB%E8%A1%97_(%E6%98%A0%E7%94%BB)
Dead Poet’s Society	https://en.wikipedia.org/wiki/Dead_Poets_Society	いまを生きる	https://ja.wikipedia.org/wiki/%E3%81%84%E3%81%BE%E3%82%92%E7%94%9F%E3%81%8D%E3%82%8B
Swimming with Sharks	https://en.wikipedia.org/wiki/Swimming_with_Sharks		
Mentor	https://en.wikipedia.org/wiki/Mentor_(film)		
Mona Lisa Smile	https://en.wikipedia.org/wiki/Mona_Lisa_Smile	モナリザ・スマイル	https://ja.wikipedia.org/wiki/%E3%83%A2%E3%83%8A%E3%83%AA%E3%82%B6%E3%83%BB%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%AB
Apt Pupil	https://en.wikipedia.org/wiki/Apt_Pupil_(film)	ゴールデンボーイ	https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%9C%E3%83%BC%E3%82%A4_(%E6%98%A0%E7%94%BB)
The Emperor’s Club	https://en.wikipedia.org/wiki/The_Emperor%27s_Club	卒業の朝	https://ja.wikipedia.org/wiki/%E5%8D%92%E6%A5%AD%E3%81%AE%E6%9C%9D
In Good Company	https://en.wikipedia.org/wiki/In_Good_Company_(2004_film)	イン・グッド・カンパニー	https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%B0%E3%83%83%E3%83%89%E3%83%BB%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC
The Devil Wears Prada	https://en.wikipedia.org/wiki/The_Devil_Wears_Prada_(film)	プラダを着た悪魔	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%83%80%E3%82%92%E7%9D%80%E3%81%9F%E6%82%AA%E9%AD%94
The Departed	https://en.wikipedia.org/wiki/The_Departed	ディパーテッド	https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%A3%E3%83%91%E3%83%BC%E3%83%86%E3%83%83%E3%83%89
