nameEn	urlEn	nameJa	urlJa
M*A*S*H	https://en.wikipedia.org/wiki/M*A*S*H_(film)	M★A★S★H マッシュ	https://ja.wikipedia.org/wiki/M%E2%98%85A%E2%98%85S%E2%98%85H_%E3%83%9E%E3%83%83%E3%82%B7%E3%83%A5
Breaker Morant	https://en.wikipedia.org/wiki/Breaker_Morant_(film)		
Gallipoli	https://en.wikipedia.org/wiki/Gallipoli_(1981_film)	誓い	https://ja.wikipedia.org/wiki/%E8%AA%93%E3%81%84_(%E6%98%A0%E7%94%BB)
Paths of Glory	https://en.wikipedia.org/wiki/Paths_of_Glory	突撃	https://ja.wikipedia.org/wiki/%E7%AA%81%E6%92%83_(1957%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Platoon	https://en.wikipedia.org/wiki/Platoon_(film)	プラトーン	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%83%88%E3%83%BC%E3%83%B3
A Few Good Men	https://en.wikipedia.org/wiki/A_Few_Good_Men	ア・フュー・グッドメン	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%BB%E3%83%95%E3%83%A5%E3%83%BC%E3%83%BB%E3%82%B0%E3%83%83%E3%83%89%E3%83%A1%E3%83%B3
Taps	https://en.wikipedia.org/wiki/Taps_(film)	タップス	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%83%83%E3%83%97%E3%82%B9
The Caine Munity	https://en.wikipedia.org/wiki/The_Caine_Mutiny_(film)	ケイン号の叛乱	https://ja.wikipedia.org/wiki/%E3%82%B1%E3%82%A4%E3%83%B3%E5%8F%B7%E3%81%AE%E5%8F%9B%E4%B9%B1
Top Gun	https://en.wikipedia.org/wiki/Top_Gun	トップガン	https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%83%E3%83%97%E3%82%AC%E3%83%B3_(%E6%98%A0%E7%94%BB)
Full Metal Jacket	https://en.wikipedia.org/wiki/Full_Metal_Jacket	フルメタル・ジャケット	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AB%E3%83%A1%E3%82%BF%E3%83%AB%E3%83%BB%E3%82%B8%E3%83%A3%E3%82%B1%E3%83%83%E3%83%88
We Were Soldiers	https://en.wikipedia.org/wiki/We_Were_Soldiers	ワンス・アンド・フォーエバー	https://ja.wikipedia.org/wiki/%E3%83%AF%E3%83%B3%E3%82%B9%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%83%95%E3%82%A9%E3%83%BC%E3%82%A8%E3%83%90%E3%83%BC
