nameEn	urlEn	nameJa	urlJa
Fatal Attraction	https://en.wikipedia.org/wiki/Fatal_Attraction	危険な情事	https://ja.wikipedia.org/wiki/%E5%8D%B1%E9%99%BA%E3%81%AA%E6%83%85%E4%BA%8B
Play Misty for Me	https://en.wikipedia.org/wiki/Play_Misty_for_Me	恐怖のメロディ	https://ja.wikipedia.org/wiki/%E6%81%90%E6%80%96%E3%81%AE%E3%83%A1%E3%83%AD%E3%83%87%E3%82%A3
The Hand	https://en.wikipedia.org/wiki/The_Hand_(1981_film)	キラーハンド	https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%A9%E3%83%BC%E3%83%8F%E3%83%B3%E3%83%89
That Rocks the Cradle	https://en.wikipedia.org/wiki/The_Hand_That_Rocks_the_Cradle_(film)	ゆりかごを揺らす手	https://ja.wikipedia.org/wiki/%E3%82%86%E3%82%8A%E3%81%8B%E3%81%94%E3%82%92%E6%8F%BA%E3%82%89%E3%81%99%E6%89%8B
Pacific Heights	https://en.wikipedia.org/wiki/Pacific_Heights_(film)	パシフィック・ハイツ	https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%B7%E3%83%95%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%83%8F%E3%82%A4%E3%83%84
Poison Ivy	https://en.wikipedia.org/wiki/Poison_Ivy_(1992_film)	ボディヒート	https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%87%E3%82%A3%E3%83%92%E3%83%BC%E3%83%88
The Fan	https://en.wikipedia.org/wiki/The_Fan_(1996_film)	ザ・ファン	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%83%95%E3%82%A1%E3%83%B3_(%E6%98%A0%E7%94%BB)
Single White Female	https://en.wikipedia.org/wiki/Single_White_Female	ルームメイト	https://ja.wikipedia.org/wiki/%E3%83%AB%E3%83%BC%E3%83%A0%E3%83%A1%E3%82%A4%E3%83%88_(1992%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Crush	https://en.wikipedia.org/wiki/The_Crush_(1993_film)		
Swimfan	https://en.wikipedia.org/wiki/Swimfan	プール	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%BC%E3%83%AB_(2002%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Cable Guy	https://en.wikipedia.org/wiki/The_Cable_Guy	ケーブルガイ	https://ja.wikipedia.org/wiki/%E3%82%B1%E3%83%BC%E3%83%96%E3%83%AB%E3%82%AC%E3%82%A4
One Hour Photo	https://en.wikipedia.org/wiki/One_Hour_Photo	ストーカー	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%88%E3%83%BC%E3%82%AB%E3%83%BC_(2002%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
