nameEn	urlEn	nameJa	urlJa
Saw	https://en.wikipedia.org/wiki/Saw_(2004_film)	ソウ	https://ja.wikipedia.org/wiki/%E3%82%BD%E3%82%A6_(%E6%98%A0%E7%94%BB)
Peeping Tom	https://en.wikipedia.org/wiki/Peeping_Tom_(1960_film)	血を吸うカメラ	https://ja.wikipedia.org/wiki/%E8%A1%80%E3%82%92%E5%90%B8%E3%81%86%E3%82%AB%E3%83%A1%E3%83%A9
American Psycho	https://en.wikipedia.org/wiki/American_Psycho_(film)	アメリカン・サイコ	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%82%B5%E3%82%A4%E3%82%B3
Cabin Fever	https://en.wikipedia.org/wiki/Cabin_Fever_(2002_film)	キャビン・フィーバー	https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%A3%E3%83%93%E3%83%B3%E3%83%BB%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC
Audition	https://en.wikipedia.org/wiki/Audition_(1999_film)	オーディション	https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%83%87%E3%82%A3%E3%82%B7%E3%83%A7%E3%83%B3_(%E6%98%A0%E7%94%BB)
The Others	https://en.wikipedia.org/wiki/The_Others_(2001_film)	アザーズ	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%B6%E3%83%BC%E3%82%BA
Lost Highway	https://en.wikipedia.org/wiki/Lost_Highway_(film)	ロスト・ハイウェイ	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B9%E3%83%88%E3%83%BB%E3%83%8F%E3%82%A4%E3%82%A6%E3%82%A7%E3%82%A4_(%E6%98%A0%E7%94%BB)
The Village	https://en.wikipedia.org/wiki/The_Village_(2004_film)	ヴィレッジ	https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A3%E3%83%AC%E3%83%83%E3%82%B8_(%E6%98%A0%E7%94%BB)
The Grudge	https://en.wikipedia.org/wiki/The_Grudge	THE JUON/呪怨	https://ja.wikipedia.org/wiki/THE_JUON/%E5%91%AA%E6%80%A8
Identity	https://en.wikipedia.org/wiki/Identity_(2003_film)	アイデンティティー	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3%E3%83%BC_(%E6%98%A0%E7%94%BB)
The Host	https://en.wikipedia.org/wiki/The_Host_(2006_film)	グエムル-漢江の怪物-	https://ja.wikipedia.org/wiki/%E3%82%B0%E3%82%A8%E3%83%A0%E3%83%AB-%E6%BC%A2%E6%B1%9F%E3%81%AE%E6%80%AA%E7%89%A9-
