nameEn	urlEn	nameJa	urlJa
Alien	https://en.wikipedia.org/wiki/Alien_(film)	エイリアン	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A4%E3%83%AA%E3%82%A2%E3%83%B3_(%E6%98%A0%E7%94%BB)
Jaws	https://en.wikipedia.org/wiki/Jaws_(film)	ジョーズ	https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%BA  
Tremors	https://en.wikipedia.org/wiki/Tremors_(1990_film)	トレマーズ	https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%AC%E3%83%9E%E3%83%BC%E3%82%BA_(%E6%98%A0%E7%94%BB)
The Thing	https://en.wikipedia.org/wiki/The_Thing_(1982_film)	遊星からの物体X	https://ja.wikipedia.org/wiki/%E9%81%8A%E6%98%9F%E3%81%8B%E3%82%89%E3%81%AE%E7%89%A9%E4%BD%93X
Jurassic Park	https://en.wikipedia.org/wiki/Jurassic_Park	ジュラシック・パーク	https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A5%E3%83%A9%E3%82%B7%E3%83%83%E3%82%AF%E3%83%BB%E3%83%91%E3%83%BC%E3%82%AF
Anaconda	https://en.wikipedia.org/wiki/Anaconda_(film)	アナコンダ	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%8A%E3%82%B3%E3%83%B3%E3%83%80_(%E6%98%A0%E7%94%BB)
Deep Blue Sea	https://en.wikipedia.org/wiki/Deep_Blue_Sea_(1999_film)	ディープ・ブルー	https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%A3%E3%83%BC%E3%83%97%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC_(1999%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Godzilla	https://en.wikipedia.org/wiki/Godzilla_(1954_film)	ゴジラ	https://ja.wikipedia.org/wiki/%E3%82%B4%E3%82%B8%E3%83%A9%E6%98%A0%E7%94%BB%E4%BD%9C%E5%93%81%E3%81%AE%E4%B8%80%E8%A6%A7
Independence Day	https://en.wikipedia.org/wiki/Independence_Day_(1996_film)	インデペンデンス・デイ	https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%83%87%E3%83%9A%E3%83%B3%E3%83%87%E3%83%B3%E3%82%B9%E3%83%BB%E3%83%87%E3%82%A4
Men in Black	https://en.wikipedia.org/wiki/Men_in_Black_(1997_film)	メン・イン・ブラック	https://ja.wikipedia.org/wiki/%E3%83%A1%E3%83%B3%E3%83%BB%E3%82%A4%E3%83%B3%E3%83%BB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF_(%E6%98%A0%E7%94%BB)
Lake Placid	https://en.wikipedia.org/wiki/Lake_Placid_(film)	U.M.A レイク・プラシッド	https://ja.wikipedia.org/wiki/U.M.A_%E3%83%AC%E3%82%A4%E3%82%AF%E3%83%BB%E3%83%97%E3%83%A9%E3%82%B7%E3%83%83%E3%83%89
