nameEn	urlEn	nameJa	urlJa
Scream	https://en.wikipedia.org/wiki/Scream_(2022_film)	スクリーム	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0_(2022%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Psycho	https://en.wikipedia.org/wiki/Psycho_(1960_film)	サイコ	https://ja.wikipedia.org/wiki/%E3%82%B5%E3%82%A4%E3%82%B3_(1960%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Prom Night	https://en.wikipedia.org/wiki/Prom_Night_(2008_film)	プロムナイト	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AD%E3%83%A0%E3%83%8A%E3%82%A4%E3%83%88
Halloween	https://en.wikipedia.org/wiki/Halloween_(1978_film)	ハロウィン	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AD%E3%82%A6%E3%82%A3%E3%83%B3_(1978%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Texas Chainsaw Massacre	https://en.wikipedia.org/wiki/Texas_Chainsaw_Massacre_(2022_film)	悪魔のいけにえ -レザーフェイス・リターンズ-	https://ja.wikipedia.org/wiki/%E6%82%AA%E9%AD%94%E3%81%AE%E3%81%84%E3%81%91%E3%81%AB%E3%81%88_-%E3%83%AC%E3%82%B6%E3%83%BC%E3%83%95%E3%82%A7%E3%82%A4%E3%82%B9%E3%83%BB%E3%83%AA%E3%82%BF%E3%83%BC%E3%83%B3%E3%82%BA-
Friday the 13th	https://en.wikipedia.org/wiki/Friday_the_13th_(franchise)	13日の金曜日	https://ja.wikipedia.org/wiki/13%E6%97%A5%E3%81%AE%E9%87%91%E6%9B%9C%E6%97%A5%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA
I Know What You Did Last Summer	https://en.wikipedia.org/wiki/I_Know_What_You_Did_Last_Summer	ラストサマー	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%B9%E3%83%88%E3%82%B5%E3%83%9E%E3%83%BC
Urban Legend	https://en.wikipedia.org/wiki/Urban_Legend_(film)	ルール	https://ja.wikipedia.org/wiki/%E3%83%AB%E3%83%BC%E3%83%AB_(%E6%98%A0%E7%94%BB)
Red Dragon	https://en.wikipedia.org/wiki/Red_Dragon_(2002_film)	レッド・ドラゴン	https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%83%E3%83%89%E3%83%BB%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3_(%E6%98%A0%E7%94%BB)
Hannibal	https://en.wikipedia.org/wiki/Hannibal_(2001_film)	ハンニバル	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%B3%E3%83%8B%E3%83%90%E3%83%AB_(%E6%98%A0%E7%94%BB)
Hostel	https://en.wikipedia.org/wiki/Hostel_(2005_film)	ホステル	https://ja.wikipedia.org/wiki/%E3%83%9B%E3%82%B9%E3%83%86%E3%83%AB_(%E6%98%A0%E7%94%BB)
