nameEn	urlEn	nameJa	urlJa
The Ring	https://en.wikipedia.org/wiki/The_Ring_(2002_film)	リング	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%B3%E3%82%B0_(1998%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Exorcist	https://en.wikipedia.org/wiki/The_Exorcist	エクソシスト	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%AF%E3%82%BD%E3%82%B7%E3%82%B9%E3%83%88_(%E6%98%A0%E7%94%BB)
The Legend of Hell House	https://en.wikipedia.org/wiki/The_Legend_of_Hell_House	ヘルハウス	https://ja.wikipedia.org/wiki/%E3%83%98%E3%83%AB%E3%83%8F%E3%82%A6%E3%82%B9_(%E6%98%A0%E7%94%BB)
The Shining	https://en.wikipedia.org/wiki/The_Shining_(film)	シャイニング	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A3%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0_(%E6%98%A0%E7%94%BB)
Poltergeist	https://en.wikipedia.org/wiki/Poltergeist_(1982_film)	ポルターガイスト	https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%AB%E3%82%BF%E3%83%BC%E3%82%AC%E3%82%A4%E3%82%B9%E3%83%88_(1982%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
A Nightmare on Elm Street	https://en.wikipedia.org/wiki/A_Nightmare_on_Elm_Street	エルム街の悪夢	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%A0%E8%A1%97%E3%81%AE%E6%82%AA%E5%A4%A2
Child’s Play	https://en.wikipedia.org/wiki/Child%27s_Play_(franchise)	チャイルド・プレイ	https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%A3%E3%82%A4%E3%83%AB%E3%83%89%E3%83%BB%E3%83%97%E3%83%AC%E3%82%A4
What Lies Beneath	https://en.wikipedia.org/wiki/What_Lies_Beneath	ホワット・ライズ・ビニース	https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%AF%E3%83%83%E3%83%88%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%BA%E3%83%BB%E3%83%93%E3%83%8B%E3%83%BC%E3%82%B9
House on Haunted Hill	https://en.wikipedia.org/wiki/House_on_Haunted_Hill	地獄へつゞく部屋	https://ja.wikipedia.org/wiki/%E5%9C%B0%E7%8D%84%E3%81%B8%E3%81%A4%E3%82%9E%E3%81%8F%E9%83%A8%E5%B1%8B
The Exorcism of Emily Rose	https://en.wikipedia.org/wiki/The_Exorcism_of_Emily_Rose	エミリー・ローズ	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%9F%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%AD%E3%83%BC%E3%82%BA
