nameEn	urlEn	nameJa	urlJa
Cocoon	https://en.wikipedia.org/wiki/Cocoon_(film)	コクーン	https://ja.wikipedia.org/wiki/%E3%82%B3%E3%82%AF%E3%83%BC%E3%83%B3_(%E6%98%A0%E7%94%BB)
Mary Poppins	https://en.wikipedia.org/wiki/Mary_Poppins_(film)	メリー・ポピンズ	https://ja.wikipedia.org/wiki/%E3%83%A1%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%9D%E3%83%94%E3%83%B3%E3%82%BA
The Love Bug	https://en.wikipedia.org/wiki/The_Love_Bug	ラブ・バッグ	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%83%96%E3%83%BB%E3%83%90%E3%83%83%E3%82%B0
Oh God!	https://en.wikipedia.org/wiki/Oh,_God!_(film)	オー!ゴッド	https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC!%E3%82%B4%E3%83%83%E3%83%89
Batteries not included	https://en.wikipedia.org/wiki/Batteries_Not_Included	ニューヨーク東8番街の奇跡	https://ja.wikipedia.org/wiki/%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF%E6%9D%B18%E7%95%AA%E8%A1%97%E3%81%AE%E5%A5%87%E8%B7%A1
Short Circuit	https://en.wikipedia.org/wiki/Short_Circuit_(1986_film)	ショート・サーキット 	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A7%E3%83%BC%E3%83%88%E3%83%BB%E3%82%B5%E3%83%BC%E3%82%AD%E3%83%83%E3%83%88_(%E6%98%A0%E7%94%BB)
Angels in the Outfield	https://en.wikipedia.org/wiki/Angels_in_the_Outfield_(1994_film)	エンジェルス	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B9_(%E6%98%A0%E7%94%BB)
Aladdin	https://en.wikipedia.org/wiki/Aladdin_(2019_film)	アラジン	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A9%E3%82%B8%E3%83%B3_(2019%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Meet Joe Black	https://en.wikipedia.org/wiki/Meet_Joe_Black	ジョー・ブラックをよろしく	https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%BC%E3%83%BB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%82%92%E3%82%88%E3%82%8D%E3%81%97%E3%81%8F
Bruce Almighty	https://en.wikipedia.org/wiki/Bruce_Almighty	ブルース・オールマイティ	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AB%E3%83%BC%E3%82%B9%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%9E%E3%82%A4%E3%83%86%E3%82%A3
Nanny McPhee	https://en.wikipedia.org/wiki/Nanny_McPhee	ナニー・マクフィーの魔法のステッキ	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%8B%E3%83%BC%E3%83%BB%E3%83%9E%E3%82%AF%E3%83%95%E3%82%A3%E3%83%BC%E3%81%AE%E9%AD%94%E6%B3%95%E3%81%AE%E3%82%B9%E3%83%86%E3%83%83%E3%82%AD
