nameEn	urlEn	nameJa	urlJa
Freaky Friday	https://en.wikipedia.org/wiki/Freaky_Friday_(2003_film)	フォーチュン・クッキー	https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A9%E3%83%BC%E3%83%81%E3%83%A5%E3%83%B3%E3%83%BB%E3%82%AF%E3%83%83%E3%82%AD%E3%83%BC_(%E6%98%A0%E7%94%BB)
Vice Versa	https://en.wikipedia.org/wiki/Vice_Versa_(1988_film)		
Like Father Like Son	https://en.wikipedia.org/wiki/Like_Father_Like_Son_(1987_film)	ハモンド家の秘密	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%A2%E3%83%B3%E3%83%89%E5%AE%B6%E3%81%AE%E7%A7%98%E5%AF%86
18 Again!	https://en.wikipedia.org/wiki/18_Again		
Big	https://en.wikipedia.org/wiki/Big_(film)	ビッグ	https://ja.wikipedia.org/wiki/%E3%83%93%E3%83%83%E3%82%B0_(%E6%98%A0%E7%94%BB)
Dream a Little Dream	https://en.wikipedia.org/wiki/Dream_a_Little_Dream_(film)		
13 Going On 30	https://en.wikipedia.org/wiki/13_Going_on_30		
All of Me	https://en.wikipedia.org/wiki/All_of_Me_(1984_film)		
Switch	https://en.wikipedia.org/wiki/Switch_(1991_film)	スウィッチ/素敵な彼女?	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%A6%E3%82%A3%E3%83%83%E3%83%81/%E7%B4%A0%E6%95%B5%E3%81%AA%E5%BD%BC%E5%A5%B3%3F
The Hot Chick	https://en.wikipedia.org/wiki/The_Hot_Chick	ホット・チック	https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%83%E3%83%88%E3%83%BB%E3%83%81%E3%83%83%E3%82%AF
The Shaggy Dog	https://en.wikipedia.org/wiki/The_Shaggy_Dog_(1959_film)	シャギー・ドッグ	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A3%E3%82%AE%E3%83%BC%E3%83%BB%E3%83%89%E3%83%83%E3%82%B0

