nameEn	urlEn	nameJa	urlJa
The Nutty Professor	https://en.wikipedia.org/wiki/Nanny_McPhee	ナッティ・プロフェッサー クランプ教授の場合	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%83%E3%83%86%E3%82%A3%E3%83%BB%E3%83%97%E3%83%AD%E3%83%95%E3%82%A7%E3%83%83%E3%82%B5%E3%83%BC_%E3%82%AF%E3%83%A9%E3%83%B3%E3%83%97%E6%95%99%E6%8E%88%E3%81%AE%E5%A0%B4%E5%90%88
Electric Dreams	https://en.wikipedia.org/wiki/Electric_Dreams_(film)	エレクトリック・ドリーム	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AC%E3%82%AF%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%89%E3%83%AA%E3%83%BC%E3%83%A0
Love Potion #9	https://en.wikipedia.org/wiki/Love_Potion_No._9_(film)		
The Mask	https://en.wikipedia.org/wiki/The_Mask_(1994_film)	マスク	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B9%E3%82%AF_(1994%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Jumanji	https://en.wikipedia.org/wiki/Jumanji	ジュマンジ	https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A5%E3%83%9E%E3%83%B3%E3%82%B8
Flubber	https://en.wikipedia.org/wiki/Flubber_(film)	フラバー	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%90%E3%83%BC
Death Becomes Her	https://en.wikipedia.org/wiki/Death_Becomes_Her	永遠に美しく…	https://ja.wikipedia.org/wiki/%E6%B0%B8%E9%81%A0%E3%81%AB%E7%BE%8E%E3%81%97%E3%81%8F%E2%80%A6
Like Mike	https://en.wikipedia.org/wiki/Like_Mike	ロスト・キッズ	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B9%E3%83%88%E3%83%BB%E3%82%AD%E3%83%83%E3%82%BA
Clockstoppers	https://en.wikipedia.org/wiki/Clockstoppers	タイムマイン	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%83%A0%E3%83%9E%E3%82%A4%E3%83%B3
Click	https://en.wikipedia.org/wiki/Click_(2006_film)	もしも昨日が選べたら	https://ja.wikipedia.org/wiki/%E3%82%82%E3%81%97%E3%82%82%E6%98%A8%E6%97%A5%E3%81%8C%E9%81%B8%E3%81%B9%E3%81%9F%E3%82%89
The Last Mimsy	https://en.wikipedia.org/wiki/The_Last_Mimzy		
