nameEn	urlEn	nameJa	urlJa
28 Days	https://ja.wikipedia.org/wiki/28DAYS		
The Lost Weekend	https://en.wikipedia.org/wiki/The_Lost_Weekend_(film)	失われた週末	https://ja.wikipedia.org/wiki/%E5%A4%B1%E3%82%8F%E3%82%8C%E3%81%9F%E9%80%B1%E6%9C%AB
The Man with the Golden Arm	https://en.wikipedia.org/wiki/The_Man_with_the_Golden_Arm	黄金の腕	https://ja.wikipedia.org/wiki/%E9%BB%84%E9%87%91%E3%81%AE%E8%85%95
Days of Wine and Roses	https://en.wikipedia.org/wiki/Days_of_Wine_and_Roses_(film)	酒とバラの日々	https://ja.wikipedia.org/wiki/%E9%85%92%E3%81%A8%E3%83%90%E3%83%A9%E3%81%AE%E6%97%A5%E3%80%85
When a Man Loves a Woman	https://en.wikipedia.org/wiki/When_a_Man_Loves_a_Woman_(film)	男が女を愛する時	https://ja.wikipedia.org/wiki/%E7%94%B7%E3%81%8C%E5%A5%B3%E3%82%92%E6%84%9B%E3%81%99%E3%82%8B%E6%99%82_(%E6%98%A0%E7%94%BB)
Clean and Sober	https://en.wikipedia.org/wiki/Clean_and_Sober			
Permanent Midnight	https://en.wikipedia.org/wiki/Permanent_Midnight	パーマネント ミッドナイト	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%BC%E3%83%9E%E3%83%8D%E3%83%B3%E3%83%88_%E3%83%9F%E3%83%83%E3%83%89%E3%83%8A%E3%82%A4%E3%83%88
Postcards from the Edge	https://en.wikipedia.org/wiki/Postcards_from_the_Edge_(film)	ハリウッドにくちづけ	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AA%E3%82%A6%E3%83%83%E3%83%89%E3%81%AB%E3%81%8F%E3%81%A1%E3%81%A5%E3%81%91
Trainspotting	https://en.wikipedia.org/wiki/Trainspotting_(film)	トレインスポッティング	https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%AC%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%9D%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0
Barfly	https://en.wikipedia.org/wiki/Barfly_(film)	バーフライ	https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%BC%E3%83%95%E3%83%A9%E3%82%A4
Clean	https://en.wikipedia.org/wiki/Clean_(2021_film)	クリーン ある殺し屋の献身	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3_%E3%81%82%E3%82%8B%E6%AE%BA%E3%81%97%E5%B1%8B%E3%81%AE%E7%8C%AE%E8%BA%AB
