nameEn	urlEn	nameJa	urlJa
Napoleon Dynamite	https://en.wikipedia.org/wiki/Napoleon_Dynamite	ナポレオン・ダイナマイト	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%9D%E3%83%AC%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%80%E3%82%A4%E3%83%8A%E3%83%9E%E3%82%A4%E3%83%88
American Graffiti	https://en.wikipedia.org/wiki/American_Graffiti	アメリカン・グラフィティ	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%82%B0%E3%83%A9%E3%83%95%E3%82%A3%E3%83%86%E3%82%A3
Breaking Away	https://en.wikipedia.org/wiki/Breaking_Away	ヤング・ゼネレーション	https://ja.wikipedia.org/wiki/%E3%83%A4%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%BC%E3%83%8D%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3
Risky Buisness	https://en.wikipedia.org/wiki/Risky_Business	卒業白書	https://ja.wikipedia.org/wiki/%E5%8D%92%E6%A5%AD%E7%99%BD%E6%9B%B8
Sixteen Candles	https://en.wikipedia.org/wiki/Sixteen_Candles	すてきな片想い	https://ja.wikipedia.org/wiki/%E3%81%99%E3%81%A6%E3%81%8D%E3%81%AA%E7%89%87%E6%83%B3%E3%81%84_(%E6%98%A0%E7%94%BB)
Lucas	https://en.wikipedia.org/wiki/Lucas_(1986_film)	ルーカスの初恋メモリー	https://ja.wikipedia.org/wiki/%E3%83%AB%E3%83%BC%E3%82%AB%E3%82%B9%E3%81%AE%E5%88%9D%E6%81%8B%E3%83%A1%E3%83%A2%E3%83%AA%E3%83%BC
American Pie	https://en.wikipedia.org/wiki/American_Pie_(film)	アメリカン・パイ	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%83%91%E3%82%A4_(%E6%98%A0%E7%94%BB)
Porky’s 	https://en.wikipedia.org/wiki/Porky%27s	ポーキーズ	https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%BC%E3%82%AD%E3%83%BC%E3%82%BA
Pretty in Pink	https://en.wikipedia.org/wiki/Pretty_in_Pink	プリティ・イン・ピンク/恋人たちの街角	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AA%E3%83%86%E3%82%A3%E3%83%BB%E3%82%A4%E3%83%B3%E3%83%BB%E3%83%94%E3%83%B3%E3%82%AF/%E6%81%8B%E4%BA%BA%E3%81%9F%E3%81%A1%E3%81%AE%E8%A1%97%E8%A7%92
Dazed and Confused	https://en.wikipedia.org/wiki/Dazed_and_Confused_(film)	バッド・チューニング	https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%83%E3%83%89%E3%83%BB%E3%83%81%E3%83%A5%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0
Thirteen	https://en.wikipedia.org/wiki/Thirteen_(2003_film)	サーティーン あの頃欲しかった愛のこと	https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC%E3%83%B3_%E3%81%82%E3%81%AE%E9%A0%83%E6%AC%B2%E3%81%97%E3%81%8B%E3%81%A3%E3%81%9F%E6%84%9B%E3%81%AE%E3%81%93%E3%81%A8
