nameEn	urlEn	nameJa	urlJa
Ordinary People	https://en.wikipedia.org/wiki/Ordinary_People	普通の人々	https://ja.wikipedia.org/wiki/%E6%99%AE%E9%80%9A%E3%81%AE%E4%BA%BA%E3%80%85
All That Jazz	https://en.wikipedia.org/wiki/All_That_Jazz_(film)	オール・ザット・ジャズ	https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B6%E3%83%83%E3%83%88%E3%83%BB%E3%82%B8%E3%83%A3%E3%82%BA
My Life	https://en.wikipedia.org/wiki/My_Life_(film)	マイ・ライフ	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%BB%E3%83%A9%E3%82%A4%E3%83%95_(%E6%98%A0%E7%94%BB)
Dying Young	https://en.wikipedia.org/wiki/Dying_Young	愛の選択	https://ja.wikipedia.org/wiki/%E6%84%9B%E3%81%AE%E9%81%B8%E6%8A%9E_(%E6%98%A0%E7%94%BB)
Wit	https://en.wikipedia.org/wiki/Wit_(film)		
The Sweet Hereafter	https://en.wikipedia.org/wiki/The_Sweet_Hereafter_(film)	スウィート ヒアアフター	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%A6%E3%82%A3%E3%83%BC%E3%83%88_%E3%83%92%E3%82%A2%E3%82%A2%E3%83%95%E3%82%BF%E3%83%BC
You Can Count on Me	https://en.wikipedia.org/wiki/You_Can_Count_on_Me	ユー・キャン・カウント・オン・ミー	https://ja.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%83%BB%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%BB%E3%82%AB%E3%82%A6%E3%83%B3%E3%83%88%E3%83%BB%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%9F%E3%83%BC
Ponette	https://en.wikipedia.org/wiki/Ponette	ポネット	https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%8D%E3%83%83%E3%83%88
The Doctor	https://en.wikipedia.org/wiki/The_Doctor_(1991_film)	ドクター	https://ja.wikipedia.org/wiki/%E3%83%89%E3%82%AF%E3%82%BF%E3%83%BC_(%E6%98%A0%E7%94%BB)
The Accidental Tourist	https://en.wikipedia.org/wiki/The_Accidental_Tourist_(film)	偶然の旅行者	https://ja.wikipedia.org/wiki/%E5%81%B6%E7%84%B6%E3%81%AE%E6%97%85%E8%A1%8C%E8%80%85
One True Thing	https://en.wikipedia.org/wiki/One_True_Thing	母の眠り	https://ja.wikipedia.org/wiki/%E6%AF%8D%E3%81%AE%E7%9C%A0%E3%82%8A
