nameEn	urlEn	nameJa	urlJa
10	https://en.wikipedia.org/wiki/10_(1979_film)	テン	https://ja.wikipedia.org/wiki/%E3%83%86%E3%83%B3_(%E6%98%A0%E7%94%BB)
Seconds	https://en.wikipedia.org/wiki/Seconds_(1966_film)	セコンド/アーサー・ハミルトンからトニー・ウィルソンへの転身	https://ja.wikipedia.org/wiki/%E3%82%BB%E3%82%B3%E3%83%B3%E3%83%89/%E3%82%A2%E3%83%BC%E3%82%B5%E3%83%BC%E3%83%BB%E3%83%8F%E3%83%9F%E3%83%AB%E3%83%88%E3%83%B3%E3%81%8B%E3%82%89%E3%83%88%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A3%E3%83%AB%E3%82%BD%E3%83%B3%E3%81%B8%E3%81%AE%E8%BB%A2%E8%BA%AB
Save the Tiger	https://en.wikipedia.org/wiki/Save_the_Tiger	セイブ・ザ・タイガー	https://ja.wikipedia.org/wiki/%E3%82%BB%E3%82%A4%E3%83%96%E3%83%BB%E3%82%B6%E3%83%BB%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC
That’s Life!	https://en.wikipedia.org/wiki/That%27s_Life!_(film)		
The Weather Man	https://en.wikipedia.org/wiki/The_Weather_Man	ニコラス・ケイジのウェザーマン	https://ja.wikipedia.org/wiki/%E3%83%8B%E3%82%B3%E3%83%A9%E3%82%B9%E3%83%BB%E3%82%B1%E3%82%A4%E3%82%B8%E3%81%AE%E3%82%A6%E3%82%A7%E3%82%B6%E3%83%BC%E3%83%9E%E3%83%B3
Lord of War	https://en.wikipedia.org/wiki/Lord_of_War	ロード・オブ・ウォー	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%83%89%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%BC
On a Clear Day	https://en.wikipedia.org/wiki/On_a_Clear_Day_(film)		
The Upside of Anger	https://en.wikipedia.org/wiki/The_Upside_of_Anger	ママが泣いた日	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%9E%E3%81%8C%E6%B3%A3%E3%81%84%E3%81%9F%E6%97%A5
Lost in Translation	https://en.wikipedia.org/wiki/Lost_in_Translation_(film)	ロスト・イン・トランスレーション	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B9%E3%83%88%E3%83%BB%E3%82%A4%E3%83%B3%E3%83%BB%E3%83%88%E3%83%A9%E3%83%B3%E3%82%B9%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3
Living Out Loud	https://en.wikipedia.org/wiki/Living_Out_Loud		
I Think I Love My Wife	https://en.wikipedia.org/wiki/I_Think_I_Love_My_Wife	セックス・アンド・ザ・バディ	https://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%90%E3%83%87%E3%82%A3
