nameEn	urlEn	nameJa	urlJa
Kramer vs. Kramer	https://en.wikipedia.org/wiki/Kramer_vs._Kramer	クレイマー、クレイマー	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AC%E3%82%A4%E3%83%9E%E3%83%BC%E3%80%81%E3%82%AF%E3%83%AC%E3%82%A4%E3%83%9E%E3%83%BC
Divorce American Style	https://en.wikipedia.org/wiki/Divorce_American_Style		
Blume in Love	https://en.wikipedia.org/wiki/Blume_in_Love		
An Unmarried Woman	https://en.wikipedia.org/wiki/An_Unmarried_Woman	結婚しない女	https://ja.wikipedia.org/wiki/%E7%B5%90%E5%A9%9A%E3%81%97%E3%81%AA%E3%81%84%E5%A5%B3
Modern Romance	https://en.wikipedia.org/wiki/Modern_Romance_(film)		
The War of the Roses	https://en.wikipedia.org/wiki/The_War_of_the_Roses_(film)	ローズ家の戦争	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%82%BA%E5%AE%B6%E3%81%AE%E6%88%A6%E4%BA%89
The Break-Up	https://en.wikipedia.org/wiki/The_Break-Up	ハニーVS.ダーリン 2年目の駆け引き	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%8B%E3%83%BCVS.%E3%83%80%E3%83%BC%E3%83%AA%E3%83%B3_2%E5%B9%B4%E7%9B%AE%E3%81%AE%E9%A7%86%E3%81%91%E5%BC%95%E3%81%8D
The First Wives Club	https://en.wikipedia.org/wiki/The_First_Wives_Club	ファースト・ワイフ・クラブ	https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B9%E3%83%88%E3%83%BB%E3%83%AF%E3%82%A4%E3%83%95%E3%83%BB%E3%82%AF%E3%83%A9%E3%83%96
Bye Bye Love	https://en.wikipedia.org/wiki/Bye_Bye_Love_(film)	バイバイ・ラブ	https://ja.wikipedia.org/wiki/%E3%83%90%E3%82%A4%E3%83%90%E3%82%A4%E3%83%BB%E3%83%A9%E3%83%96
Stepmom	https://en.wikipedia.org/wiki/Stepmom_(1998_film)	グッドナイト・ムーン	https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%83%E3%83%89%E3%83%8A%E3%82%A4%E3%83%88%E3%83%BB%E3%83%A0%E3%83%BC%E3%83%B3
Dinner with Friends	https://en.wikipedia.org/wiki/Dinner_with_Friends_(film)		
