nameEn	urlEn	nameJa	urlJa
Spider-Man 2	https://en.wikipedia.org/wiki/Spider-Man_2	スパイダーマン2	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%91%E3%82%A4%E3%83%80%E3%83%BC%E3%83%9E%E3%83%B32
Batman	https://en.wikipedia.org/wiki/The_Batman_(film)	THE BATMAN－ザ・バットマン－	https://ja.wikipedia.org/wiki/THE_BATMAN-%E3%82%B6%E3%83%BB%E3%83%90%E3%83%83%E3%83%88%E3%83%9E%E3%83%B3-
The Fantastic Four	https://en.wikipedia.org/wiki/Fantastic_Four_in_film	ファンタスティック・フォー	https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%83%B3%E3%82%BF%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%83%95%E3%82%A9%E3%83%BC_(2015%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Incredibles	https://en.wikipedia.org/wiki/The_Incredibles	Mr.インクレディブル	https://ja.wikipedia.org/wiki/Mr.%E3%82%A4%E3%83%B3%E3%82%AF%E3%83%AC%E3%83%87%E3%82%A3%E3%83%96%E3%83%AB
X-Men	https://en.wikipedia.org/wiki/X-Men_(film_series)	Xメン	https://ja.wikipedia.org/wiki/X-MEN_(%E6%98%A0%E7%94%BB%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA)
Blade	https://en.wikipedia.org/wiki/Blade_(1998_film)	ブレイド	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AC%E3%82%A4%E3%83%89_(%E6%98%A0%E7%94%BB)
The Hulk	https://en.wikipedia.org/wiki/Hulk_(film)	ハルク	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AB%E3%82%AF_(%E6%98%A0%E7%94%BB)
Tank Girl	https://en.wikipedia.org/wiki/Tank_Girl_(film)	タンク・ガール	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%83%B3%E3%82%AF%E3%83%BB%E3%82%AC%E3%83%BC%E3%83%AB
Catwoman	https://en.wikipedia.org/wiki/Catwoman_(film)	キャットウーマン	https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%A3%E3%83%83%E3%83%88%E3%82%A6%E3%83%BC%E3%83%9E%E3%83%B3_(%E6%98%A0%E7%94%BB)
The Crow	https://en.wikipedia.org/wiki/The_Crow_(1994_film)	クロウ/飛翔伝説	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AD%E3%82%A6/%E9%A3%9B%E7%BF%94%E4%BC%9D%E8%AA%AC
Hellboy	https://en.wikipedia.org/wiki/Hellboy_(2019_film)	ヘルボーイ	https://ja.wikipedia.org/wiki/%E3%83%98%E3%83%AB%E3%83%9C%E3%83%BC%E3%82%A4_(%E6%98%A0%E7%94%BB)
