nameEn	urlEn	nameJa	urlJa
The Matrix	https://en.wikipedia.org/wiki/The_Matrix	マトリックス	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%82%B9_(%E6%98%A0%E7%94%BB)
Brazil	https://en.wikipedia.org/wiki/Brazil_(1985_film)	未来世紀ブラジル	https://ja.wikipedia.org/wiki/%E6%9C%AA%E6%9D%A5%E4%B8%96%E7%B4%80%E3%83%96%E3%83%A9%E3%82%B8%E3%83%AB
Hook	https://en.wikipedia.org/wiki/Hook_(film)	フック	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%83%E3%82%AF_(%E6%98%A0%E7%94%BB)
The Neverending Story	https://en.wikipedia.org/wiki/The_NeverEnding_Story_(film)	ネバーエンディング・ストーリー	https://ja.wikipedia.org/wiki/%E3%83%8D%E3%83%90%E3%83%BC%E3%82%A8%E3%83%B3%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC
MirrorMask	https://en.wikipedia.org/wiki/MirrorMask	ミラーマスク	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%A9%E3%83%BC%E3%83%9E%E3%82%B9%E3%82%AF
The Nightmare Before Christmas	https://en.wikipedia.org/wiki/The_Nightmare_Before_Christmas	ナイトメアー・ビフォア・クリスマス	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A4%E3%83%88%E3%83%A1%E3%82%A2%E3%83%BC%E3%83%BB%E3%83%93%E3%83%95%E3%82%A9%E3%82%A2%E3%83%BB%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9
Antz	https://en.wikipedia.org/wiki/Antz	アンツ	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%84_(%E3%82%A2%E3%83%8B%E3%83%A1%E6%98%A0%E7%94%BB)
The League of Extraordinary Gentlemen	https://en.wikipedia.org/wiki/The_League_of_Extraordinary_Gentlemen_(film)	リーグ・オブ・エクストラオーディナリー・ジェントルメン	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%BC%E3%82%B0%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%A8%E3%82%AF%E3%82%B9%E3%83%88%E3%83%A9%E3%82%AA%E3%83%BC%E3%83%87%E3%82%A3%E3%83%8A%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88%E3%83%AB%E3%83%A1%E3%83%B3
Van Helsing	https://en.wikipedia.org/wiki/Van_Helsing_(film)	ヴァン・ヘルシング	https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%BB%E3%83%98%E3%83%AB%E3%82%B7%E3%83%B3%E3%82%B0_(%E6%98%A0%E7%94%BB)
V for Vendetta	https://en.wikipedia.org/wiki/V_for_Vendetta_(film)	Vフォー・ヴェンデッタ	https://ja.wikipedia.org/wiki/V%E3%83%95%E3%82%A9%E3%83%BC%E3%83%BB%E3%83%B4%E3%82%A7%E3%83%B3%E3%83%87%E3%83%83%E3%82%BF_(%E6%98%A0%E7%94%BB)
Eragon	https://en.wikipedia.org/wiki/Eragon_(film)		
