nameEn	urlEn	nameJa	urlJa
Gladiator	https://en.wikipedia.org/wiki/Gladiator_(2000_film)	グラディエーター	https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%A9%E3%83%87%E3%82%A3%E3%82%A8%E3%83%BC%E3%82%BF%E3%83%BC
Gunga Din	https://en.wikipedia.org/wiki/Gunga_Din_(film)		
Ben-Hur	https://en.wikipedia.org/wiki/Ben-Hur_(1959_film)	ベン・ハー	https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%B3%E3%83%BB%E3%83%8F%E3%83%BC_(1959%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
High Plains Drifter	https://en.wikipedia.org/wiki/High_Plains_Drifter	荒野のストレンジャー	https://ja.wikipedia.org/wiki/%E8%8D%92%E9%87%8E%E3%81%AE%E3%82%B9%E3%83%88%E3%83%AC%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%BC
Greystoke: The Legend of Tarzan	https://en.wikipedia.org/wiki/Greystoke:_The_Legend_of_Tarzan,_Lord_of_the_Apes	グレイストーク -類人猿の王者- ターザンの伝説	https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%88%E3%83%BC%E3%82%AF_-%E9%A1%9E%E4%BA%BA%E7%8C%BF%E3%81%AE%E7%8E%8B%E8%80%85-_%E3%82%BF%E3%83%BC%E3%82%B6%E3%83%B3%E3%81%AE%E4%BC%9D%E8%AA%AC
The Three Musketeers	https://en.wikipedia.org/wiki/The_Three_Musketeers_(2011_film)	三銃士/王妃の首飾りとダ・ヴィンチの飛行船	https://ja.wikipedia.org/wiki/%E4%B8%89%E9%8A%83%E5%A3%AB/%E7%8E%8B%E5%A6%83%E3%81%AE%E9%A6%96%E9%A3%BE%E3%82%8A%E3%81%A8%E3%83%80%E3%83%BB%E3%83%B4%E3%82%A3%E3%83%B3%E3%83%81%E3%81%AE%E9%A3%9B%E8%A1%8C%E8%88%B9
Robin Hood: Prince of Thieves	https://en.wikipedia.org/wiki/Robin_Hood:_Prince_of_Thieves	ロビン・フッド	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%93%E3%83%B3%E3%83%BB%E3%83%95%E3%83%83%E3%83%89_(1991%E5%B9%B4%E3%81%AE%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E6%98%A0%E7%94%BB)
The Mask of Zorro	https://en.wikipedia.org/wiki/The_Mask_of_Zorro	マスク・オブ・ゾロ	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%B9%E3%82%AF%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%BE%E3%83%AD
Whale Rider	https://en.wikipedia.org/wiki/Whale_Rider	クジラの島の少女	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%82%B8%E3%83%A9%E3%81%AE%E5%B3%B6%E3%81%AE%E5%B0%91%E5%A5%B3
The Patriot	https://en.wikipedia.org/wiki/The_Patriot_(2000_film)	パトリオット	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%88%E3%83%AA%E3%82%AA%E3%83%83%E3%83%88_(2000%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Casino Royale	https://en.wikipedia.org/wiki/Casino_Royale_(2006_film)	007/カジノ・ロワイヤル	https://ja.wikipedia.org/wiki/007/%E3%82%AB%E3%82%B8%E3%83%8E%E3%83%BB%E3%83%AD%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AB_(2006%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
