nameEn	urlEn	nameJa	urlJa
Raging Bull	https://en.wikipedia.org/wiki/Raging_Bull	レイジング・ブル	https://ja.wikipedia.org/wiki/%E3%83%AC%E3%82%A4%E3%82%B8%E3%83%B3%E3%82%B0%E3%83%BB%E3%83%96%E3%83%AB
Lenny	https://en.wikipedia.org/wiki/Lenny_(film)	レニー・ブルース	https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%8B%E3%83%BC%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC%E3%82%B9_(%E6%98%A0%E7%94%BB)
Gandhi	https://en.wikipedia.org/wiki/Gandhi_(film)	ガンジー	https://ja.wikipedia.org/wiki/%E3%82%AC%E3%83%B3%E3%82%B8%E3%83%BC_(%E6%98%A0%E7%94%BB)
Braveheart	https://en.wikipedia.org/wiki/Braveheart	ブレイブハート	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AC%E3%82%A4%E3%83%96%E3%83%8F%E3%83%BC%E3%83%88
Malcom X	https://en.wikipedia.org/wiki/Malcolm_X_(1992_film)	マルコムX	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%AB%E3%82%B3%E3%83%A0X_(%E6%98%A0%E7%94%BB)
Frances	https://en.wikipedia.org/wiki/Frances_(film)	女優フランシス	https://ja.wikipedia.org/wiki/%E5%A5%B3%E5%84%AA%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9
Joan of Arc	The Messenger: The Story of Joan of Arc	ジャンヌ・ダルク	https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%8C%E3%83%BB%E3%83%80%E3%83%AB%E3%82%AF_(%E6%98%A0%E7%94%BB)
Erin Brockovich	https://en.wikipedia.org/wiki/Erin_Brockovich_(film)	エリン・ブロコビッチ	https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AA%E3%83%B3%E3%83%BB%E3%83%96%E3%83%AD%E3%82%B3%E3%83%93%E3%83%83%E3%83%81_(%E6%98%A0%E7%94%BB)
The Passion of the Christ	https://en.wikipedia.org/wiki/The_Passion_of_the_Christ	パッション』	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3_(2004%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
A Beautiful Mind	https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film)	ビューティフル・マインド	https://ja.wikipedia.org/wiki/%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%95%E3%83%AB%E3%83%BB%E3%83%9E%E3%82%A4%E3%83%B3%E3%83%89
