nameEn	urlEn	nameJa	urlJa
The Lion King	https://en.wikipedia.org/wiki/The_Lion_King_(2019_film)	ライオン・キング	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%BB%E3%82%AD%E3%83%B3%E3%82%B0_(2019%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Peter Pan	https://en.wikipedia.org/wiki/Peter_Pan_(2003_film)	ピーター・パン	https://ja.wikipedia.org/wiki/%E3%83%94%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%91%E3%83%B3_(2003%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Hunchback of Notre Dame	https://en.wikipedia.org/wiki/The_Hunchback_of_Notre_Dame_(1996_film)	ノートルダムの鐘	https://ja.wikipedia.org/wiki/%E3%83%8E%E3%83%BC%E3%83%88%E3%83%AB%E3%83%80%E3%83%A0%E3%81%AE%E9%90%98
Mulan	https://en.wikipedia.org/wiki/Mulan_(2020_film)	ムーラン	https://ja.wikipedia.org/wiki/%E3%83%A0%E3%83%BC%E3%83%A9%E3%83%B3_(2020%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Chronicles of Narnia: The Lion	https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia_(film_series)	ナルニア国物語	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%AB%E3%83%8B%E3%82%A2%E5%9B%BD%E7%89%A9%E8%AA%9E_(%E6%98%A0%E7%94%BB)
the Witch and the Wardrobe	https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe	ナルニア国物語/第1章: ライオンと魔女	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%AB%E3%83%8B%E3%82%A2%E5%9B%BD%E7%89%A9%E8%AA%9E/%E7%AC%AC1%E7%AB%A0:_%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%81%A8%E9%AD%94%E5%A5%B3
The Jungle Book	https://en.wikipedia.org/wiki/The_Jungle_Book_(1967_film)	ジャングル・ブック	https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%B3%E3%82%B0%E3%83%AB%E3%83%BB%E3%83%96%E3%83%83%E3%82%AF_(1967%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Little Mermaid	https://en.wikipedia.org/wiki/The_Little_Mermaid_(2023_film)	リトル・マーメイド	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%88%E3%83%AB%E3%83%BB%E3%83%9E%E3%83%BC%E3%83%A1%E3%82%A4%E3%83%89_(2023%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Willy Wonka & the Chocolate Factory	https://en.wikipedia.org/wiki/Willy_Wonka_%26_the_Chocolate_Factory	夢のチョコレート工場	https://ja.wikipedia.org/wiki/%E5%A4%A2%E3%81%AE%E3%83%81%E3%83%A7%E3%82%B3%E3%83%AC%E3%83%BC%E3%83%88%E5%B7%A5%E5%A0%B4
the Harry Potter series	https://en.wikipedia.org/wiki/Harry_Potter_(film_series)	ハリー・ポッター	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%9D%E3%83%83%E3%82%BF%E3%83%BC_(%E6%98%A0%E7%94%BB%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA)
Happy Feet	https://en.wikipedia.org/wiki/Happy_Feet	ハッピー フィート	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%83%E3%83%94%E3%83%BC_%E3%83%95%E3%82%A3%E3%83%BC%E3%83%88
Ratatouille	https://en.wikipedia.org/wiki/Ratatouille_(film)	レミーのおいしいレストラン	https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%9F%E3%83%BC%E3%81%AE%E3%81%8A%E3%81%84%E3%81%97%E3%81%84%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3
