nameEn	urlEn	nameJa	urlJa
fargo	https://en.wikipedia.org/wiki/Fargo_(1996_film)	ファーゴ	https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B4_(%E6%98%A0%E7%94%BB)
The French Connection	https://en.wikipedia.org/wiki/The_French_Connection_(film)	フレンチ・コネクション	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AC%E3%83%B3%E3%83%81%E3%83%BB%E3%82%B3%E3%83%8D%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3
Dirty Harry	https://en.wikipedia.org/wiki/Dirty_Harry	ダーティハリー	https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%BC%E3%83%86%E3%82%A3%E3%83%8F%E3%83%AA%E3%83%BC
Tightrope	https://en.wikipedia.org/wiki/Tightrope_(film)	タイトロープ	https://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AD%E3%83%BC%E3%83%97_(%E6%98%A0%E7%94%BB)
To Live and Die in LA	https://en.wikipedia.org/wiki/To_Live_and_Die_in_L.A._(film)	L.A.大捜査線/狼たちの街	https://ja.wikipedia.org/wiki/L.A.%E5%A4%A7%E6%8D%9C%E6%9F%BB%E7%B7%9A/%E7%8B%BC%E3%81%9F%E3%81%A1%E3%81%AE%E8%A1%97
Basic Instinct	https://en.wikipedia.org/wiki/Basic_Instinct	氷の微笑	https://ja.wikipedia.org/wiki/%E6%B0%B7%E3%81%AE%E5%BE%AE%E7%AC%91
City by the Sea	https://en.wikipedia.org/wiki/City_by_the_Sea	容疑者	https://ja.wikipedia.org/wiki/%E5%AE%B9%E7%96%91%E8%80%85_(2002%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
LA Confidential	https://en.wikipedia.org/wiki/L.A._Confidential_(film)	L.A.コンフィデンシャル	https://ja.wikipedia.org/wiki/L.A.%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A3%E3%83%87%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%AB
Insomnia	https://en.wikipedia.org/wiki/Insomnia_(2002_film)	インソムニア	https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%BD%E3%83%A0%E3%83%8B%E3%82%A2_(2002%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Twisted	https://en.wikipedia.org/wiki/Twisted_(2004_film)	ツイステッド	https://ja.wikipedia.org/wiki/%E3%83%84%E3%82%A4%E3%82%B9%E3%83%86%E3%83%83%E3%83%89
Narc	https://en.wikipedia.org/wiki/Narc_(film)	NARC ナーク	https://ja.wikipedia.org/wiki/NARC_%E3%83%8A%E3%83%BC%E3%82%AF
