nameEn	urlEn	nameJa	urlJa
Blade Runner	https://en.wikipedia.org/wiki/Blade_Runner	ブレードランナー	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AC%E3%83%BC%E3%83%89%E3%83%A9%E3%83%B3%E3%83%8A%E3%83%BC
Who Framed Roger Rabbit	https://en.wikipedia.org/wiki/Who_Framed_Roger_Rabbit	ロジャー・ラビット	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%BB%E3%83%A9%E3%83%93%E3%83%83%E3%83%88
Cool World	https://en.wikipedia.org/wiki/Cool_World	クール・ワールド	https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89
Mulholland Drive	https://en.wikipedia.org/wiki/Mulholland_Drive_(film)	マルホランド・ドライブ	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%AB%E3%83%9B%E3%83%A9%E3%83%B3%E3%83%89%E3%83%BB%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96
Ghost	https://en.wikipedia.org/wiki/Ghost_(1990_film)	ゴースト/ニューヨークの幻	https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%BC%E3%82%B9%E3%83%88/%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF%E3%81%AE%E5%B9%BB
The Sixth Sense	https://en.wikipedia.org/wiki/The_Sixth_Sense	シックス・センス	https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%82%BB%E3%83%B3%E3%82%B9
The Singer Detective	https://en.wikipedia.org/wiki/The_Singing_Detective_(film)	歌う大捜査線	https://ja.wikipedia.org/wiki/%E6%AD%8C%E3%81%86%E5%A4%A7%E6%8D%9C%E6%9F%BB%E7%B7%9A
Minority Report	https://en.wikipedia.org/wiki/Minority_Report_(film)	マイノリティ・リポート	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%8E%E3%83%AA%E3%83%86%E3%82%A3%E3%83%BB%E3%83%AA%E3%83%9D%E3%83%BC%E3%83%88
Sky Captain and the World of Tomorrow	https://en.wikipedia.org/wiki/Sky_Captain_and_the_World_of_Tomorrow	スカイキャプテン ワールド・オブ・トゥモロー	https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%AB%E3%82%A4%E3%82%AD%E3%83%A3%E3%83%97%E3%83%86%E3%83%B3_%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%83%88%E3%82%A5%E3%83%A2%E3%83%AD%E3%83%BC
I	https://en.wikipedia.org/wiki/I_(2015_film)	マッスル 踊る稲妻	https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%83%E3%82%B9%E3%83%AB_%E8%B8%8A%E3%82%8B%E7%A8%B2%E5%A6%BB
Robot	https://en.wikipedia.org/wiki/Enthiran	ロボット	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88_(%E6%98%A0%E7%94%BB)
