nameEn	urlEn	nameJa	urlJa
Brick	https://en.wikipedia.org/wiki/Brick_(film)	BRICK ブリック	https://ja.wikipedia.org/wiki/BRICK_%E3%83%96%E3%83%AA%E3%83%83%E3%82%AF
Chinatown	https://en.wikipedia.org/wiki/Chinatown_(1974_film)	チャイナタウン	https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%A3%E3%82%A4%E3%83%8A%E3%82%BF%E3%82%A6%E3%83%B3_(%E6%98%A0%E7%94%BB)
The Long Goodbye	https://en.wikipedia.org/wiki/The_Long_Goodbye_(film)	長いお別れ	https://ja.wikipedia.org/wiki/%E9%95%B7%E3%81%84%E3%81%8A%E5%88%A5%E3%82%8C
Farewell, My Lovely	https://en.wikipedia.org/wiki/Farewell,_My_Lovely_(1975_film)	さらば愛しき女よ	https://ja.wikipedia.org/wiki/%E3%81%95%E3%82%89%E3%81%B0%E6%84%9B%E3%81%97%E3%81%8D%E5%A5%B3%E3%82%88_(1975%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
The Big Sleep	https://en.wikipedia.org/wiki/The_Big_Sleep_(1946_film)	三つ数えろ	https://ja.wikipedia.org/wiki/%E4%B8%89%E3%81%A4%E6%95%B0%E3%81%88%E3%82%8D
Body Heat	https://en.wikipedia.org/wiki/Body_Heat	白いドレスの女	https://ja.wikipedia.org/wiki/%E7%99%BD%E3%81%84%E3%83%89%E3%83%AC%E3%82%B9%E3%81%AE%E5%A5%B3
Devil in a Blue Dress	https://en.wikipedia.org/wiki/Devil_in_a_Blue_Dress_(film)	青いドレスの女	https://ja.wikipedia.org/wiki/%E9%9D%92%E3%81%84%E3%83%89%E3%83%AC%E3%82%B9%E3%81%AE%E5%A5%B3
Blue Velvet	https://en.wikipedia.org/wiki/Blue_Velvet_(film)	ブルーベルベット	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AB%E3%83%BC%E3%83%99%E3%83%AB%E3%83%99%E3%83%83%E3%83%88
Mulholland Falls	https://en.wikipedia.org/wiki/Mulholland_Falls	狼たちの街	https://ja.wikipedia.org/wiki/%E7%8B%BC%E3%81%9F%E3%81%A1%E3%81%AE%E8%A1%97
Hollywoodland	https://en.wikipedia.org/wiki/Hollywoodland	ハリウッドランド	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AA%E3%82%A6%E3%83%83%E3%83%89%E3%83%A9%E3%83%B3%E3%83%89
The Black Dahlia	https://en.wikipedia.org/wiki/The_Black_Dahlia_(film)	ブラック・ダリア	https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%83%BB%E3%83%80%E3%83%AA%E3%82%A2_(%E6%98%A0%E7%94%BB)
