nameEn	urlEn	nameJa	urlJa
Mystic River	https://en.wikipedia.org/wiki/Mystic_River_(film)	ミスティック・リバー	https://ja.wikipedia.org/wiki/%E3%83%9F%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%83%AA%E3%83%90%E3%83%BC
The Third Man	https://en.wikipedia.org/wiki/The_Third_Man	第三の男	https://ja.wikipedia.org/wiki/%E7%AC%AC%E4%B8%89%E3%81%AE%E7%94%B7
Rear Window	https://en.wikipedia.org/wiki/Rear_Window	裏窓	https://ja.wikipedia.org/wiki/%E8%A3%8F%E7%AA%93
Vertigo	https://en.wikipedia.org/wiki/Vertigo_(film)	めまい	https://ja.wikipedia.org/wiki/%E3%82%81%E3%81%BE%E3%81%84_(%E6%98%A0%E7%94%BB)
The Conversation	https://en.wikipedia.org/wiki/The_Conversation	カンバセーション…盗聴…	https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%B3%E3%83%90%E3%82%BB%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E2%80%A6%E7%9B%97%E8%81%B4%E2%80%A6
Body Double	https://en.wikipedia.org/wiki/Body_Double	ボディ・ダブル	https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%87%E3%82%A3%E3%83%BB%E3%83%80%E3%83%96%E3%83%AB
Final Analysis	https://en.wikipedia.org/wiki/Final_Analysis	愛という名の疑惑	https://ja.wikipedia.org/wiki/%E6%84%9B%E3%81%A8%E3%81%84%E3%81%86%E5%90%8D%E3%81%AE%E7%96%91%E6%83%91
Jagged Edge	https://en.wikipedia.org/wiki/Jagged_Edge_(film)	白と黒のナイフ	https://ja.wikipedia.org/wiki/%E7%99%BD%E3%81%A8%E9%BB%92%E3%81%AE%E3%83%8A%E3%82%A4%E3%83%95
Kiss the Girls	https://en.wikipedia.org/wiki/Kiss_the_Girls_(1997_film)	コレクター	https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%BF%E3%83%BC_(1997%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
High Crimes	https://en.wikipedia.org/wiki/High_Crimes	ハイ・クライムズ	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%82%A4%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%A0%E3%82%BA
Disturbia	https://en.wikipedia.org/wiki/Disturbia_(film)	ディスタービア	https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%A3%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%93%E3%82%A2_(%E6%98%A0%E7%94%BB)
