nameEn	urlEn	nameJa	urlJa
All the President’s Men	https://en.wikipedia.org/wiki/All_the_President%27s_Men_(film)	大統領の陰謀	https://ja.wikipedia.org/wiki/%E5%A4%A7%E7%B5%B1%E9%A0%98%E3%81%AE%E9%99%B0%E8%AC%80
Z	https://en.wikipedia.org/wiki/Z_(1969_film)	Z	https://ja.wikipedia.org/wiki/Z_(%E6%98%A0%E7%94%BB)
The Parallax View	https://en.wikipedia.org/wiki/The_Parallax_View	パララックス・ビュー	https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%A9%E3%83%A9%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%83%93%E3%83%A5%E3%83%BC_(%E6%98%A0%E7%94%BB)
The China Syndrome	https://en.wikipedia.org/wiki/The_China_Syndrome	チャイナ・シンドローム	https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%A3%E3%82%A4%E3%83%8A%E3%83%BB%E3%82%B7%E3%83%B3%E3%83%89%E3%83%AD%E3%83%BC%E3%83%A0_(%E6%98%A0%E7%94%BB)
JFK	https://en.wikipedia.org/wiki/JFK_(film)	JFK	https://ja.wikipedia.org/wiki/JFK_(%E6%98%A0%E7%94%BB)
The Insider	https://en.wikipedia.org/wiki/The_Insider_(film)	インサイダー	https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%B5%E3%82%A4%E3%83%80%E3%83%BC_(%E6%98%A0%E7%94%BB)
The Quiet American	https://en.wikipedia.org/wiki/The_Quiet_American_(2002_film)	愛の落日	https://ja.wikipedia.org/wiki/%E6%84%9B%E3%81%AE%E8%90%BD%E6%97%A5
The Manchurian Candidate	https://en.wikipedia.org/wiki/The_Manchurian_Candidate_(1962_film)	影なき狙撃者	https://ja.wikipedia.org/wiki/%E5%BD%B1%E3%81%AA%E3%81%8D%E7%8B%99%E6%92%83%E8%80%85_(%E6%98%A0%E7%94%BB)
The Constant Gardener	https://en.wikipedia.org/wiki/The_Constant_Gardener_(film)	ナイロビの蜂	https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%A4%E3%83%AD%E3%83%93%E3%81%AE%E8%9C%82
The Interpreter	https://en.wikipedia.org/wiki/The_Interpreter	ザ・インタープリター	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%97%E3%83%AA%E3%82%BF%E3%83%BC
